,VaR_full,VaR_no_drift,mu_deltaV,sigma_deltaV
2007-12-05,13493.882795595451,13982.081170290594,488.1983746951425,6010.313988854931
2007-12-06,13488.471475963954,13968.498335790613,480.02685982665884,6004.475294370951
2007-12-07,13471.636070853823,13975.837095155186,504.2010243013637,6007.629921177399
2007-12-10,13473.106686083618,13948.254637634498,475.14795155087995,5995.77337219413
2007-12-11,13477.785965538402,13962.47185665417,484.68589111576875,6001.884762145014
2007-12-12,13544.497955578267,14015.757679163995,471.25972358572886,6024.790116543824
2007-12-13,13557.388840066396,14035.804974115385,478.4161340489874,6033.4076131680795
2007-12-14,13625.945375355994,14088.74234048772,462.7969651317274,6056.163180795368
2007-12-17,13759.232948690587,14179.600423059575,420.3674743689881,6095.219283962791
2007-12-18,13810.394788484304,14213.437051397848,403.04226291354394,6109.76424033662
2007-12-19,13787.024408836638,14222.436096222098,435.4116873854595,6113.632554669428
2007-12-20,13721.550866257623,14175.620880616547,454.07001435892397,6093.5086445148245
2007-12-21,13707.994496213962,14143.81351717892,435.8190209649592,6079.835984551731
2007-12-24,13650.36381995222,14131.00282915534,480.63900920312125,6074.329203658584
2007-12-25,13631.137267707398,14094.599226674045,463.4619589666476,6058.680812079872
2007-12-26,13634.599177212389,14093.24382404462,458.64464683223116,6058.09818097618
2007-12-27,13633.255839239275,14099.811575585336,466.55573634606185,6060.921383651069
2007-12-28,13636.846038103671,14085.127786705058,448.28174860138677,6054.609434761511
2007-12-31,13650.486059377079,14109.995542630257,459.50948325317773,6065.299046664654
2008-01-01,13670.629397572686,14117.357890448757,446.72849287607096,6068.4638131643915
2008-01-02,13670.542812949674,14117.35031017427,446.80749722459603,6068.460554720299
2008-01-03,13668.46509013657,14123.978600427445,455.51351029087454,6071.309780464711
2008-01-04,13635.643451742159,14107.853132298384,472.2096805562246,6064.378113748396
2008-01-07,13714.157178037649,14165.943162606567,451.78598456891825,6089.348596863322
2008-01-08,13719.489255398656,14168.210724332848,448.721468934193,6090.323327148326
2008-01-09,13672.943982992245,14160.896724234826,487.9527412425811,6087.17934331872
2008-01-10,13696.93887839729,14169.869814983584,472.9309365862934,6091.036501076116
2008-01-11,13696.896767357268,14169.75116262888,472.8543952716114,6090.985497373691
2008-01-14,13685.469006197787,14161.663366867422,476.19436066963465,6087.508891036476
2008-01-15,13659.55991857021,14168.337811063071,508.7778924928608,6090.377956437282
2008-01-16,13777.155136325731,14235.142419510928,457.9872831851975,6119.094473512529
2008-01-17,13858.463605474668,14299.049027271843,440.5854217971754,6146.5652608672635
2008-01-18,13905.177912197714,14316.081793571475,410.90388137376067,6153.88693725526
2008-01-21,13900.562897600397,14318.965969241926,418.4030716415294,6155.126724177343
2008-01-22,13907.515765935852,14321.59738918854,414.0816232526881,6156.257861947398
2008-01-23,13997.893812244678,14387.885014178573,389.9912019338955,6184.752149379523
2008-01-24,13999.492393943323,14377.97962032319,378.48722637986833,6180.494233370522
2008-01-25,14033.558960670776,14442.183304037504,408.62434336672857,6208.092721296918
2008-01-28,14040.847811039563,14433.633225501628,392.7854144620643,6204.417398860715
2008-01-29,14055.315829870751,14464.876419920383,409.5605900496328,6217.847546074462
2008-01-30,14046.213092095659,14464.800391403764,418.58729930810443,6217.814864583672
2008-01-31,14048.627781016507,14457.300960315271,408.6731792987651,6214.5911716991395
2008-02-01,14048.367743677396,14471.427895768556,423.0601520911598,6220.66375250742
2008-02-04,14014.849822430799,14453.81340994296,438.963587512162,6213.0920191384985
2008-02-05,13999.649072362208,14443.544026722979,443.8949543607714,6208.677639270993
2008-02-06,14215.968832513287,14627.403122854168,411.4342903408813,6287.711002330245
2008-02-07,14213.023060615644,14626.639260918046,413.6162003024028,6287.382649918017
2008-02-08,14217.795452012393,14626.835209621522,409.03975760912857,6287.466880099437
2008-02-11,14233.371566497108,14652.92655009013,419.55498359302106,6298.682460004641
2008-02-12,14273.023581402076,14665.84298177453,392.8194003724527,6304.234695690684
2008-02-13,14260.786552319407,14645.456890846364,384.670338526958,6295.471564795409
2008-02-14,14261.06334366682,14644.321973364526,383.25862969770526,6294.983711067897
2008-02-15,14266.046737422683,14642.2273987247,376.18066130201805,6294.083340722087
2008-02-18,14266.46506553095,14641.995901332763,375.53083580181215,6293.983829640997
2008-02-19,14270.502495273846,14640.63189703831,370.1294017644646,6293.397501039985
2008-02-20,14243.172731517881,14645.288917967506,402.1161864496238,6295.399360255094
2008-02-21,14247.879876250701,14640.600981089396,392.7211048386946,6293.384211561976
2008-02-22,14212.84004758853,14621.142158778475,408.30211118994595,6285.019674801134
2008-02-25,14204.119108356785,14602.013018885991,397.8939105292057,6276.796854772392
2008-02-26,14202.397808425801,14609.909725021862,407.51191659606036,6280.19131964327
2008-02-27,14189.314994074937,14628.99220959354,439.67721551860257,6288.394084493967
2008-02-28,14170.629661764237,14597.69264430969,427.0629825454541,6274.939705794584
2008-02-29,14159.529911108384,14567.302266604449,407.7723554960642,6261.876148944657
2008-03-03,14193.82376492085,14590.972871315831,397.1491063949811,6272.051155432516
2008-03-04,14193.552451276564,14582.905353210992,389.3529019344277,6268.583265614805
2008-03-05,14267.81527814288,14625.298288923046,357.4830107801663,6286.806221942664
2008-03-06,14278.230696801586,14645.091903104061,366.86120630247655,6295.3146717759355
2008-03-07,14303.28145418834,14658.659290453043,355.37783626470195,6301.146726173464
2008-03-10,14266.964850463766,14630.237100525354,363.2722500615865,6288.929211224456
2008-03-11,14281.737267581328,14625.872185369264,344.1349177879363,6287.052916107635
2008-03-12,14294.589861575227,14681.23999544295,386.65013386772256,6310.853230192867
2008-03-13,14290.577679503751,14687.684980608778,397.1073011050267,6313.623660719508
2008-03-14,14285.707441562829,14692.426257060737,406.7188154979078,6315.661737872485
2008-03-17,14403.320507420212,14780.059159083237,376.73865166302426,6353.3314703318365
2008-03-18,14397.367079264037,14765.337839971395,367.97076070735795,6347.003388759809
2008-03-19,14366.606663089959,14724.885711064633,358.27904797467545,6329.614704394003
2008-03-20,14544.17842233044,14849.351461678394,305.1730393479536,6383.117343445816
2008-03-21,14502.801625752161,14822.877115891608,320.075490139446,6371.737125516156
2008-03-24,14492.624943134875,14801.504373534222,308.8794303993479,6362.549874290371
2008-03-25,14487.699286687535,14820.22872020319,332.529433515654,6370.598690582167
2008-03-26,14503.773859968078,14851.516891288067,347.7430313199884,6384.048171390268
2008-03-27,14502.457809301763,14843.421081199778,340.963271898016,6380.568120027947
2008-03-28,14507.638792594633,14844.501224266383,336.86243167175144,6381.032428517085
2008-03-31,14521.703087755815,14838.381542385889,316.6784546300735,6378.401832315724
2008-04-01,14519.197288353225,14837.141505275202,317.94421692197557,6377.868792040655
2008-04-02,14503.750988614476,14813.856885178015,310.10589656353756,6367.859704252446
2008-04-03,14487.435339614032,14810.210290389163,322.7749507751304,6366.292185125344
2008-04-04,14480.790876696332,14790.615864994008,309.82498829767695,6357.869358249878
2008-04-07,14466.180962394514,14765.289204543027,299.1082421485134,6346.982482416046
2008-04-08,14459.848965282361,14766.06883561888,306.21987033651953,6347.317613324262
2008-04-09,14482.226861910822,14760.464750664147,278.23788875332554,6344.908650753673
2008-04-10,14478.78960428366,14762.378603382027,283.58899909836623,6345.731336276865
2008-04-11,14465.068291854848,14753.794426094077,288.72613423922894,6342.041356208218
2008-04-14,14450.01649625223,14743.415546458345,293.39905020611525,6337.579908394867
2008-04-15,14386.96850320883,14698.156481012496,311.18797780366793,6318.124922341025
2008-04-16,14387.292578461025,14696.999801674567,309.70722321354157,6317.62771409851
2008-04-17,14288.247620532553,14673.32502367876,385.07740314620725,6307.4509136896
2008-04-18,14319.240534136921,14690.388600605464,371.1480664685419,6314.7858342821355
2008-04-21,14308.40300313273,14690.27239988197,381.8693967492405,6314.735884433796
2008-04-22,14261.633128270405,14663.738151426667,402.10502315626286,6303.329916843398
2008-04-23,14279.371404457772,14672.984944337577,393.61353987980596,6307.304727753705
2008-04-24,14260.830175344623,14663.305290486483,402.4751151418606,6303.143847964786
2008-04-25,14299.933743988342,14664.737293985045,364.80354999670294,6303.759406589762
