forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2007-12-05,2007-12-04,1262602.307091339,603.3955890425053,6557.523486864973,14651.685233598706,15255.080822641212
2007-12-06,2007-12-05,1259426.413620031,584.0016571180729,6525.598597336485,14596.810766639552,15180.812423757625
2007-12-07,2007-12-06,1267004.7637279828,617.0101424644952,6588.4654007418885,14710.052335743034,15327.062478207528
2007-12-10,2007-12-07,1261443.027547862,576.4655480113242,6527.032845839601,14607.68343670237,15184.148984713695
2007-12-11,2007-12-10,1270863.272470054,591.5458453216611,6627.2453761201505,14825.732346162442,15417.278191484103
2007-12-12,2007-12-11,1259822.9727204458,572.3954086966779,6539.127474125929,14639.88988881823,15212.285297514909
2007-12-13,2007-12-12,1269258.3182732763,587.2914955210305,6655.849229551651,14896.529209582819,15483.82070510385
2007-12-14,2007-12-13,1255399.1951491479,557.6108837429731,6565.826725400611,14716.786160213274,15274.397043956247
2007-12-17,2007-12-14,1246828.7940830046,517.203147341556,6537.827250840979,14692.05737849863,15209.260525840185
2007-12-18,2007-12-17,1241868.8405805347,506.1653595722391,6500.022206618468,14615.14748201289,15121.312841585128
2007-12-19,2007-12-18,1249339.640741542,529.1836270905359,6576.939576612225,14771.065774656383,15300.249401746918
2007-12-20,2007-12-19,1250924.9932750359,551.040610667671,6560.560700324641,14711.105827048448,15262.14643771612
2007-12-21,2007-12-20,1248603.8098335448,523.9510537122496,6520.789992455885,14645.674882304289,15169.625936016539
2007-12-24,2007-12-21,1258745.141410241,563.7627445308368,6629.147458337363,14857.94035187553,15421.703096406367
2007-12-25,2007-12-24,1260559.8610425566,550.3143481146558,6631.3754955601,14876.571937948109,15426.886286062765
2007-12-26,2007-12-25,1260538.3135608728,553.0089650357031,6630.809909404068,14872.56157087539,15425.570535911094
2007-12-27,2007-12-26,1268271.1254352308,572.1852042300922,6723.694261948608,15069.466647754653,15641.651851984745
2007-12-28,2007-12-27,1269091.469703485,576.708244828209,6715.079211695461,15044.902003315372,15621.610248143581
2007-12-31,2007-12-28,1279517.9787143865,607.4903959470179,6812.003040628639,15239.59839557916,15847.088791526177
2008-01-01,2007-12-31,1273617.263390535,579.8865693976385,6766.988535186524,15162.482823092276,15742.369392489914
2008-01-02,2008-01-01,1274012.0033480958,581.0047155867704,6767.966826352627,15163.6405224776,15744.645238064371
2008-01-03,2008-01-02,1286715.1016767377,617.3590252542625,6918.974582198996,15478.582784586988,16095.94180984125
2008-01-04,2008-01-03,1291080.0408606315,631.2531144424452,6961.94334206751,15564.648978569092,16195.902093011537
2008-01-07,2008-01-04,1282699.4020304275,621.6700355278053,6912.958014216165,15460.275144177562,16081.945179705368
2008-01-08,2008-01-07,1279785.5877242698,613.4097798347912,6889.289133322643,15413.473349123004,16026.883128957796
