,VaR_EVT,VaR_EVT_raw,VaR_EVT_mle_raw,xi,xi_raw,xi_clamped,sigma_gpd,N_u,f_u_hat,threshold_u,ks_pvalue,fallback_type,ES_EVT,ES_EVT_raw,ES_EVT_mle_raw,ES_fallback_type
2007-12-31,17953.90943927847,17953.90943927847,17953.90943927847,0.0957188190563596,0.0957188190563596,False,4461.745524931461,50,0.9,6460.243769952826,0.8167560501599782,none,24104.546814728372,24104.546814728372,24104.546814728372,none
2008-01-02,18036.79091531401,18036.79091531401,18036.79091531401,0.0685045447666432,0.0685045447666432,False,4614.1871011596695,50,0.9,6528.434391729958,0.8448050135882716,none,23836.670877655408,23836.670877655408,23836.670877655408,none
2008-01-03,18036.79091531401,18036.79091531401,18036.79091531401,0.0685045447666432,0.0685045447666432,False,4614.1871011596695,50,0.9,6528.434391729958,0.8448050135882716,none,23836.670877655408,23836.670877655408,23836.670877655408,none
2008-01-04,18036.79091531401,18036.79091531401,18036.79091531401,0.0685045447666432,0.0685045447666432,False,4614.1871011596695,50,0.9,6528.434391729958,0.8448050135882716,none,23836.670877655408,23836.670877655408,23836.670877655408,none
2008-01-07,18027.77437792089,18027.77437792089,18027.77437792089,0.07113667881066349,0.07113667881066349,False,4563.916422778912,50,0.9,6609.325679164467,0.9316952304260004,none,23815.694750850034,23815.694750850034,23815.694750850034,none
2008-01-08,18027.77437792089,18027.77437792089,18027.77437792089,0.07113667881066349,0.07113667881066349,False,4563.916422778912,50,0.9,6609.325679164467,0.9316952304260004,none,23815.694750850034,23815.694750850034,23815.694750850034,none
2008-01-09,18027.77437792089,18027.77437792089,18027.77437792089,0.07113667881066349,0.07113667881066349,False,4563.916422778912,50,0.9,6609.325679164467,0.9316952304260004,none,23815.694750850034,23815.694750850034,23815.694750850034,none
2008-01-10,18594.994857309757,18594.994857309757,18594.994857309757,0.08583491685378153,0.08583491685378153,False,4649.178936850202,50,0.9,6758.692868023176,0.8694240892456696,none,24792.0669599321,24792.0669599321,24792.0669599321,none
2008-01-11,18594.994857309757,18594.994857309757,18594.994857309757,0.08583491685378153,0.08583491685378153,False,4649.178936850202,50,0.9,6758.692868023176,0.8694240892456696,none,24792.0669599321,24792.0669599321,24792.0669599321,none
2008-01-14,18594.994857309757,18594.994857309757,18594.994857309757,0.08583491685378153,0.08583491685378153,False,4649.178936850202,50,0.9,6758.692868023176,0.8694240892456696,none,24792.0669599321,24792.0669599321,24792.0669599321,none
2008-01-15,18686.811324308255,18686.811324308255,18686.811324308255,0.029031624750338735,0.029031624750338735,False,5069.990720869723,50,0.9,6613.691108946103,0.864561321427721,none,24269.37524162852,24269.37524162852,24269.37524162852,none
2008-01-16,19058.801572135766,19058.801572135766,19058.801572135766,0.03157132800928293,0.03157132800928293,False,5131.883178497615,50,0.9,6802.0964090182015,0.8113932182387846,none,24757.56266537235,24757.56266537235,24757.56266537235,none
2008-01-17,19088.411058934747,19088.411058934747,19088.411058934747,0.012592374911201555,0.012592374911201555,False,5236.830309797415,50,0.9,6853.647220284094,0.8288642049260792,none,24548.055997891854,24548.055997891854,24548.055997891854,none
2008-01-18,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-22,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-23,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-24,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-25,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-28,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-29,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-30,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-01-31,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-02-01,19058.230013719527,19058.230013719527,19058.230013719527,0.03275729745113896,0.03275729745113896,False,5045.9202949789715,50,0.9,6990.164273039476,0.8352018867410177,none,24683.744168303147,24683.744168303147,24683.744168303147,none
2008-02-04,19124.14309522238,19124.14309522238,19124.14309522238,0.003091872816660948,0.003091872816660948,False,5226.220046671912,50,0.9,7047.388711334905,0.7134688103200499,none,24404.02766205462,24404.02766205462,24404.02766205462,none
