,sigma_hat,var_fhs
2006-01-04,,
2006-01-05,,
2006-01-06,,
2006-01-09,,
2006-01-10,,
2006-01-11,,
2006-01-12,,
2006-01-13,,
2006-01-17,,
2006-01-18,,
2006-01-19,,
2006-01-20,,
2006-01-23,,
2006-01-24,,
2006-01-25,,
2006-01-26,,
2006-01-27,,
2006-01-30,,
2006-01-31,,
2006-02-01,,
2006-02-02,,
2006-02-03,,
2006-02-06,,
2006-02-07,,
2006-02-08,,
2006-02-09,,
2006-02-10,,
2006-02-13,,
2006-02-14,,
2006-02-15,,
2006-02-16,,
2006-02-17,,
2006-02-21,,
2006-02-22,,
2006-02-23,,
2006-02-24,,
2006-02-27,,
2006-02-28,,
2006-03-01,,
2006-03-02,,
2006-03-03,,
2006-03-06,,
2006-03-07,,
2006-03-08,,
2006-03-09,,
2006-03-10,,
2006-03-13,,
2006-03-14,,
2006-03-15,,
2006-03-16,,
2006-03-17,,
2006-03-20,,
2006-03-21,,
2006-03-22,,
2006-03-23,,
2006-03-24,,
2006-03-27,,
2006-03-28,,
2006-03-29,,
2006-03-30,,
2006-03-31,,
2006-04-03,,
2006-04-04,,
2006-04-05,,
2006-04-06,,
2006-04-07,,
2006-04-10,,
2006-04-11,,
2006-04-12,,
2006-04-13,,
2006-04-17,,
2006-04-18,,
2006-04-19,,
2006-04-20,,
2006-04-21,,
2006-04-24,,
2006-04-25,,
2006-04-26,,
2006-04-27,,
2006-04-28,,
2006-05-01,,
2006-05-02,,
2006-05-03,,
2006-05-04,,
2006-05-05,,
2006-05-08,,
2006-05-09,,
2006-05-10,,
2006-05-11,,
2006-05-12,,
2006-05-15,,
2006-05-16,,
2006-05-17,,
2006-05-18,,
2006-05-19,,
2006-05-22,,
2006-05-23,,
2006-05-24,,
2006-05-25,,
2006-05-26,,
2006-05-30,,
2006-05-31,,
2006-06-01,,
2006-06-02,,
2006-06-05,,
2006-06-06,,
2006-06-07,,
2006-06-08,,
2006-06-09,,
2006-06-12,,
2006-06-13,,
2006-06-14,,
2006-06-15,,
2006-06-16,,
2006-06-19,,
2006-06-20,,
2006-06-21,,
2006-06-22,,
2006-06-23,,
2006-06-26,,
2006-06-27,,
2006-06-28,,
2006-06-29,,
2006-06-30,,
2006-07-03,,
2006-07-05,,
2006-07-06,,
2006-07-07,,
2006-07-10,,
2006-07-11,,
2006-07-12,,
2006-07-13,,
2006-07-14,,
2006-07-17,,
2006-07-18,,
2006-07-19,,
2006-07-20,,
2006-07-21,,
2006-07-24,,
2006-07-25,,
2006-07-26,,
2006-07-27,,
2006-07-28,,
2006-07-31,,
2006-08-01,,
2006-08-02,,
2006-08-03,,
2006-08-04,,
2006-08-07,,
2006-08-08,,
2006-08-09,,
2006-08-10,,
2006-08-11,,
2006-08-14,,
2006-08-15,,
2006-08-16,,
2006-08-17,,
2006-08-18,,
2006-08-21,,
2006-08-22,,
2006-08-23,,
2006-08-24,,
2006-08-25,,
2006-08-28,,
2006-08-29,,
2006-08-30,,
2006-08-31,,
2006-09-01,,
2006-09-05,,
2006-09-06,,
2006-09-07,,
2006-09-08,,
2006-09-11,,
2006-09-12,,
2006-09-13,,
2006-09-14,,
2006-09-15,,
2006-09-18,,
2006-09-19,,
2006-09-20,,
2006-09-21,,
2006-09-22,,
2006-09-25,,
2006-09-26,,
2006-09-27,,
2006-09-28,,
2006-09-29,,
2006-10-02,,
2006-10-03,,
2006-10-04,,
2006-10-05,,
2006-10-06,,
2006-10-09,,
2006-10-10,,
2006-10-11,,
2006-10-12,,
2006-10-13,,
2006-10-16,,
2006-10-17,,
2006-10-18,,
2006-10-19,,
2006-10-20,,
2006-10-23,,
2006-10-24,,
2006-10-25,,
2006-10-26,,
2006-10-27,,
2006-10-30,,
2006-10-31,,
2006-11-01,,
2006-11-02,,
2006-11-03,,
2006-11-06,,
2006-11-07,,
2006-11-08,,
2006-11-09,,
2006-11-10,,
2006-11-13,,
2006-11-14,,
2006-11-15,,
2006-11-16,,
2006-11-17,,
2006-11-20,,
2006-11-21,,
2006-11-22,,
2006-11-24,,
2006-11-27,,
2006-11-28,,
2006-11-29,,
2006-11-30,,
2006-12-01,,
2006-12-04,,
2006-12-05,,
2006-12-06,,
2006-12-07,,
2006-12-08,,
2006-12-11,,
2006-12-12,,
2006-12-13,,
2006-12-14,,
2006-12-15,,
2006-12-18,,
2006-12-19,,
2006-12-20,,
2006-12-21,,
2006-12-22,,
2006-12-26,,
2006-12-27,,
2006-12-28,,
2006-12-29,,
2007-01-03,,
2007-01-04,,
2007-01-05,,
2007-01-08,,
2007-01-09,,
2007-01-10,,
2007-01-11,,
2007-01-12,,
2007-01-16,,
2007-01-17,,
2007-01-18,,
2007-01-19,,
2007-01-22,,
2007-01-23,,
2007-01-24,,
2007-01-25,,
2007-01-26,,
2007-01-29,,
2007-01-30,,
2007-01-31,,
2007-02-01,,
2007-02-02,,
2007-02-05,,
2007-02-06,,
2007-02-07,,
2007-02-08,,
2007-02-09,,
2007-02-12,,
2007-02-13,,
2007-02-14,,
2007-02-15,,
2007-02-16,,
2007-02-20,,
2007-02-21,,
2007-02-22,,
2007-02-23,,
2007-02-26,,
2007-02-27,,
2007-02-28,,
2007-03-01,,
2007-03-02,,
2007-03-05,,
2007-03-06,,
2007-03-07,,
2007-03-08,,
2007-03-09,,
2007-03-12,,
2007-03-13,,
2007-03-14,,
2007-03-15,,
2007-03-16,,
2007-03-19,,
2007-03-20,,
2007-03-21,,
2007-03-22,,
2007-03-23,,
2007-03-26,,
2007-03-27,,
2007-03-28,,
2007-03-29,,
2007-03-30,,
2007-04-02,,
2007-04-03,,
2007-04-04,,
2007-04-05,,
2007-04-09,,
2007-04-10,,
2007-04-11,,
2007-04-12,,
2007-04-13,,
2007-04-16,,
2007-04-17,,
2007-04-18,,
2007-04-19,,
2007-04-20,,
2007-04-23,,
2007-04-24,,
2007-04-25,,
2007-04-26,,
2007-04-27,,
2007-04-30,,
2007-05-01,,
2007-05-02,,
2007-05-03,,
2007-05-04,,
2007-05-07,,
2007-05-08,,
2007-05-09,,
2007-05-10,,
2007-05-11,,
2007-05-14,,
2007-05-15,,
2007-05-16,,
2007-05-17,,
2007-05-18,,
2007-05-21,,
2007-05-22,,
2007-05-23,,
2007-05-24,,
2007-05-25,,
2007-05-29,,
2007-05-30,,
2007-05-31,,
2007-06-01,,
2007-06-04,,
2007-06-05,,
2007-06-06,,
2007-06-07,,
2007-06-08,,
2007-06-11,,
2007-06-12,,
2007-06-13,,
2007-06-14,,
2007-06-15,,
2007-06-18,,
2007-06-19,,
2007-06-20,,
2007-06-21,,
2007-06-22,,
2007-06-25,,
2007-06-26,,
2007-06-27,,
2007-06-28,,
2007-06-29,,
2007-07-02,,
2007-07-03,,
2007-07-05,,
2007-07-06,,
2007-07-09,,
2007-07-10,,
2007-07-11,,
2007-07-12,,
2007-07-13,,
2007-07-16,,
2007-07-17,,
2007-07-18,,
2007-07-19,,
2007-07-20,,
2007-07-23,,
2007-07-24,,
2007-07-25,,
2007-07-26,,
2007-07-27,,
2007-07-30,,
2007-07-31,,
2007-08-01,,
2007-08-02,,
2007-08-03,,
2007-08-06,,
2007-08-07,,
2007-08-08,,
2007-08-09,,
2007-08-10,,
2007-08-13,,
2007-08-14,,
2007-08-15,,
2007-08-16,,
2007-08-17,,
2007-08-20,,
2007-08-21,,
2007-08-22,,
2007-08-23,,
2007-08-24,,
2007-08-27,,
2007-08-28,,
2007-08-29,,
2007-08-30,,
2007-08-31,,
2007-09-04,,
2007-09-05,,
2007-09-06,,
2007-09-07,,
2007-09-10,,
2007-09-11,,
2007-09-12,,
2007-09-13,,
2007-09-14,,
2007-09-17,,
2007-09-18,,
2007-09-19,,
2007-09-20,,
2007-09-21,,
2007-09-24,,
2007-09-25,,
2007-09-26,,
2007-09-27,,
2007-09-28,,
2007-10-01,,
2007-10-02,,
2007-10-03,,
2007-10-04,,
2007-10-05,,
2007-10-08,,
2007-10-09,,
2007-10-10,,
2007-10-11,,
2007-10-12,,
2007-10-15,,
2007-10-16,,
2007-10-17,,
2007-10-18,,
2007-10-19,,
2007-10-22,,
2007-10-23,,
2007-10-24,,
2007-10-25,,
2007-10-26,,
2007-10-29,,
2007-10-30,,
2007-10-31,,
2007-11-01,,
2007-11-02,,
2007-11-05,,
2007-11-06,,
2007-11-07,,
2007-11-08,,
2007-11-09,,
2007-11-12,,
2007-11-13,,
2007-11-14,,
2007-11-15,,
2007-11-16,,
2007-11-19,,
2007-11-20,,
2007-11-21,,
2007-11-23,,
2007-11-26,,
2007-11-27,,
2007-11-28,,
2007-11-29,,
2007-11-30,,
2007-12-03,,
2007-12-04,,
2007-12-05,,
2007-12-06,,
2007-12-07,,
2007-12-10,,
2007-12-11,,
2007-12-12,,
2007-12-13,,
2007-12-14,,
2007-12-17,,
2007-12-18,,
2007-12-19,,
2007-12-20,,
2007-12-21,,
2007-12-24,,
2007-12-26,,
2007-12-27,,
2007-12-28,,
2007-12-31,0.009173344854958566,27601.391894046657
2008-01-02,0.009360504126780177,28164.52960333711
2008-01-03,0.00895102087990469,26932.448203394142
2008-01-04,0.008593232796722637,25855.91077292901
2008-01-07,0.008610403023759925,25907.573734788533
2008-01-08,0.008363362516172904,25164.261238482693
2008-01-09,0.010728234023193164,32279.84953003676
2008-01-10,0.012099160480600602,36404.78748964764
2008-01-11,0.01244000042595507,37430.330195565744
2008-01-14,0.011933904480456208,35907.55385295922
2008-01-15,0.01176154244569391,35388.9390898221
2008-01-16,0.012596818793515787,37902.17610212057
2008-01-17,0.012329444889140175,37097.68308091649
2008-01-18,0.012064986652846017,36301.96292267804
2008-01-22,0.011485391830574098,34558.03809675806
2008-01-23,0.01094128649827254,32920.89649291026
2008-01-24,0.010429877318729004,31382.13332571461
2008-01-25,0.012050278446902705,36257.707859479335
2008-01-28,0.01164266724374401,35031.25919362485
2008-01-29,0.011421724031254027,34366.47003648669
2008-01-30,0.010892077259665917,32772.83234607348
2008-01-31,0.010755620787917659,32362.25271424303
2008-02-01,0.010445701464364757,31429.74610513005
2008-02-04,0.01049563006104427,31579.974706088633
2008-02-05,0.01000726503364349,30110.54837122785
2008-02-06,0.011031187522030394,33191.39688591307
2008-02-07,0.01054111445030075,31716.831269619095
2008-02-08,0.010304462951780233,31004.777939426513
2008-02-11,0.011391049165773279,34274.173388228264
2008-02-12,0.0124307375474975,37402.45940880075
2008-02-13,0.011909643652162611,35834.55620161248
2008-02-14,0.011357769833902515,34174.04024209014
2008-02-15,0.01124385069336058,33831.27248484931
2008-02-19,0.011029488331068505,33186.28424310027
2008-02-20,0.011985084458716828,36061.547697018905
2008-02-21,0.011731580847236594,35298.7885685163
2008-02-22,0.011476212064419056,34530.417384014
2008-02-25,0.010936529516820368,32906.58335943822
2008-02-26,0.010515097502893877,31638.549686116236
2008-02-27,0.010165566567299248,30586.856930095488
2008-02-28,0.010341598514954262,31116.5139799416
2008-02-29,0.009909642976724467,29816.816401795953
2008-03-03,0.010390293073337397,31263.029521468852
2008-03-04,0.009956890498548492,29958.97800004684
2008-03-05,0.0096177431822176,28938.528192929523
2008-03-06,0.010414868679628151,31336.97429853653
2008-03-07,0.010428433576939938,31377.789295969313
2008-03-10,0.010288300028754622,30956.14582326421
2008-03-11,0.010144768507342153,30524.2782946481
2008-03-12,0.010323248370132128,31061.300800173867
2008-03-13,0.010587358393351858,30360.1975305659
2008-03-14,0.010650372907966865,30540.897289648925
2008-03-17,0.010427271083364028,29901.132844853608
2008-03-18,0.010078555338634682,28901.15924438975
2008-03-19,0.009687263904607281,27779.096045268245
2008-03-20,0.011786408524322193,33798.58106995464
2008-03-24,0.012564683113814215,36030.35309392193
2008-03-25,0.012422444992181337,35622.47255293046
2008-03-26,0.012386005835312847,35517.98001010039
2008-03-27,0.012007183268560723,34431.67240358238
2008-03-28,0.011527583716695218,33056.37777490987
2008-03-31,0.01202183826832635,34473.69692671312
2008-04-01,0.01176991087078249,33751.27257224943
2008-04-02,0.01136181069607628,32581.0088052158
2008-04-03,0.011270554885492681,32319.324602962886
2008-04-04,0.010825620196666446,31043.434570804566
2008-04-07,0.01042795834264212,29903.103622328257
2008-04-08,0.010162234263716752,29141.11604950105
2008-04-09,0.009963142163635157,28570.201638117007
2008-04-10,0.009707521300705289,27837.18594117435
2008-04-11,0.009584128007781944,27483.344632708577
2008-04-14,0.00957113475593289,27446.085320418795
2008-04-15,0.009201125718841768,26385.051298822356
2008-04-16,0.008963613117903432,25703.962663434864
2008-04-17,0.010839278866661283,31082.602029167785
2008-04-18,0.01045012720895594,29966.674830113083
2008-04-21,0.010327385458063918,29614.701876720927
2008-04-22,0.009922936626589466,28454.908663119946
2008-04-23,0.00954126584045157,27360.43353265972
2008-04-24,0.009362482378360263,26847.755957892925
2008-04-25,0.009218181800670406,26433.96113961325
2008-04-28,0.008938929247133943,25633.17945533536
2008-04-29,0.008612224701000908,24696.324936368554
2008-04-30,0.009009043215803404,25834.23753416581
2008-05-01,0.008704303273824134,24960.36848296287
2008-05-02,0.008506204172012963,24392.301582970947
2008-05-05,0.008310890732655866,23832.222819322113
2008-05-06,0.008177518105597366,23449.764877291058
2008-05-07,0.008181515906004303,23461.22892767388
2008-05-08,0.009346238477099632,26801.17511755324
2008-05-09,0.009001946166746436,25145.222126448873
2008-05-12,0.008667511198957957,24211.04173966119
2008-05-13,0.008369601625192439,23378.888084532507
2008-05-14,0.008086829813433232,22589.018884464465
2008-05-15,0.007786479219105307,21750.04670330596
2008-05-16,0.0077878100323661,21753.7640766863
2008-05-19,0.008377886270673566,23402.02966380915
2008-05-20,0.008063347494282494,22523.425498306402
2008-05-21,0.007781450214217595,21735.999135965063
2008-05-22,0.007495437137392743,20937.076079260172
2008-05-23,0.007376594595426923,20734.93412963108
2008-05-27,0.007282240048866771,20469.712111198776
2008-05-28,0.007135533140029851,20057.332380722444
2008-05-29,0.006973696561483402,19602.424529611064
2008-05-30,0.007501010084020318,21084.654712390125
2008-06-02,0.007323448159937408,20585.54435026284
2008-06-03,0.007192398468157541,20217.175627865032
2008-06-04,0.00768403122775953,21599.110442696216
2008-06-05,0.007426634906725974,20875.592877402756
2008-06-06,0.007730536163770464,21729.831573214517
2008-06-09,0.007477371211077543,20549.553879748255
2008-06-10,0.007311411222338434,20093.4572604679
2008-06-11,0.007742154381746973,21277.239570149857
2008-06-12,0.007576508942343448,20822.007405547083
2008-06-13,0.007329682928204986,20143.672154657364
2008-06-16,0.007109992154537808,19539.910850996388
2008-06-17,0.007015026195620275,19278.922325159034
2008-06-18,0.006779819659132786,18632.520099299483
2008-06-19,0.006560003294951914,18028.413643718788
2008-06-20,0.006370608352168633,17507.91232428302
