,snapshot_date,current_portfolio_value,VaR_HistSim,ES_HistSim,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,realised_loss,realised_pnl,exception
2007-12-31,2007-12-28,1376086.4784475465,23040.725192097016,26836.076141795747,5,empirical_order_statistic,-494.69717437480483,7571.304526509218,11199.976273539476,-11199.976273539476,0
2008-01-02,2007-12-31,1364886.502174007,22595.632698955247,26383.174975818816,5,empirical_order_statistic,-378.734668887964,7396.084612494911,-2975.016302234726,2975.016302234726,0
2008-01-03,2008-01-02,1367861.5184762417,22540.43637425662,26620.259386932383,5,empirical_order_statistic,-358.0449361451785,7377.4116255542895,-3775.2342238221318,3775.2342238221318,0
2008-01-04,2008-01-03,1371636.7527000639,22566.363059764495,26778.37528215572,5,empirical_order_statistic,-332.6662080538543,7382.947656786007,8620.214514355408,-8620.214514355408,0
2008-01-07,2008-01-04,1363016.5381857085,21307.71116573736,25792.452398143894,5,empirical_order_statistic,-320.1709831525399,7022.952823213359,4680.594752085628,-4680.594752085628,0
2008-01-08,2008-01-07,1358335.9434336228,21124.242657314287,25642.322696668423,5,empirical_order_statistic,-320.2666822123514,6976.712497665187,-26414.479889681097,26414.479889681097,0
2008-01-09,2008-01-08,1384750.423323304,20969.264599030837,25834.763294684468,5,empirical_order_statistic,-484.2132045199042,7138.119480164592,22605.07966286689,-22605.07966286689,1
2008-01-10,2008-01-09,1362145.343660437,21516.04916334641,25867.808979710146,5,empirical_order_statistic,-428.5369355129632,7153.606799938457,-17597.241775644245,17597.241775644245,0
2008-01-11,2008-01-10,1379742.5854360813,21706.496999469586,26191.81081485632,5,empirical_order_statistic,-483.12189635021656,7272.649001971898,4715.822786186356,-4715.822786186356,0
2008-01-14,2008-01-11,1375026.762649895,18923.26016501081,22734.16376695265,5,empirical_order_statistic,-4813.639128784407,7688.106269799777,-11623.456178974127,11623.456178974127,0
2008-01-15,2008-01-14,1386650.218828869,23301.42923000129,27117.18936512368,5,empirical_order_statistic,-586.9172426058674,7765.893627843553,20077.87774271029,-20077.87774271029,0
2008-01-16,2008-01-15,1366572.3410861588,22485.447935250355,26273.206499902484,5,empirical_order_statistic,-476.7163428516262,7523.70872726853,9699.369202838512,-9699.369202838512,0
2008-01-17,2008-01-16,1356872.9718833202,22067.798251855653,25775.83117677965,5,empirical_order_statistic,-440.01221765578816,7388.417873448528,9406.802644018317,-9406.802644018317,0
2008-01-18,2008-01-17,1347466.169239302,21582.171696493402,25246.01298290137,5,empirical_order_statistic,-368.1134874403486,7242.7343054159965,-809.9694229585584,809.9694229585584,0
2008-01-22,2008-01-18,1348276.1386622605,21524.7110860548,25447.391824354232,5,empirical_order_statistic,-388.26841988534994,7264.7808882493855,4350.280211306177,-4350.280211306177,0
2008-01-23,2008-01-22,1343925.8584509543,21639.53830723511,25476.897527293208,5,empirical_order_statistic,-338.8939821739634,7283.882383624901,465.1558630759828,-465.1558630759828,0
2008-01-24,2008-01-23,1343460.7025878783,21965.8388154828,25733.14079067018,5,empirical_order_statistic,-327.9892477963832,7353.079574146864,-25180.642219630303,25180.642219630303,0
2008-01-25,2008-01-24,1368641.3448075086,22286.173375378596,26345.99341979264,5,empirical_order_statistic,-403.3665254458645,7581.395878588893,6480.591974121053,-6480.591974121053,0
2008-01-28,2008-01-25,1362160.7528333876,22099.145647942787,26230.566072917638,5,empirical_order_statistic,-366.63040622614136,7528.910831137184,-10561.409041226376,10561.409041226376,0
2008-01-29,2008-01-28,1372722.161874614,22608.931314372458,26840.422978595412,5,empirical_order_statistic,-390.493468179611,7708.181571589695,-2653.8534495183267,2653.8534495183267,0
2008-01-30,2008-01-29,1375376.0153241323,22569.16492187418,26795.420489237084,5,empirical_order_statistic,-388.5444442567099,7693.7801002648,-10837.639377761167,10837.639377761167,0
2008-01-31,2008-01-30,1386213.6547018935,22451.03006937285,26875.644400832894,5,empirical_order_statistic,-410.8760941982172,7707.625098486148,6565.026544608641,-6565.026544608641,0
2008-02-01,2008-01-31,1379648.6281572848,22882.248998647556,27162.01757954578,5,empirical_order_statistic,-412.48773803151676,7803.496825978343,11258.238807725953,-11258.238807725953,0
2008-02-04,2008-02-01,1368390.3893495589,23138.509597019758,27209.798069016542,5,empirical_order_statistic,-408.9752538983016,7870.2240365641965,119.12435812666081,-119.12435812666081,0
2008-02-05,2008-02-04,1368271.2649914322,22659.0492393882,26793.162266204366,5,empirical_order_statistic,-395.9240860728542,7689.115445302991,19225.709043735173,-19225.709043735173,0
2008-02-06,2008-02-05,1349045.555947697,21838.08885620674,25993.205437994795,5,empirical_order_statistic,-332.7414780046763,7482.842705885951,-3599.871402153978,3599.871402153978,0
2008-02-07,2008-02-06,1352645.427349851,21855.777670609765,26199.219919112606,5,empirical_order_statistic,-328.5175851283898,7508.914895172691,-8906.22139275819,8906.22139275819,0
2008-02-08,2008-02-07,1361551.6487426092,21951.660661323695,26456.463858619285,5,empirical_order_statistic,-369.5991564651723,7552.271061529191,-21426.120083578862,21426.120083578862,0
2008-02-11,2008-02-08,1382977.768826188,22582.026022189762,26899.496360580855,5,empirical_order_statistic,-456.38011472572896,7725.704672469598,21157.93200146174,-21157.93200146174,0
2008-02-12,2008-02-11,1361819.8368247263,22163.251363726566,26864.217315868194,5,empirical_order_statistic,-375.02524751733756,7726.845368325295,4249.798365574796,-4249.798365574796,0
2008-02-13,2008-02-12,1357570.0384591515,22000.254256344633,26566.21060346542,5,empirical_order_statistic,-359.58699506318334,7651.693674663056,-3046.6372586032376,3046.6372586032376,0
2008-02-14,2008-02-13,1360616.6757177548,22185.74980504322,26779.151775412356,5,empirical_order_statistic,-345.63372390241454,7702.287585578266,-11711.384835567325,11711.384835567325,0
2008-02-15,2008-02-14,1372328.060553322,21812.80851955316,26606.14222959131,5,empirical_order_statistic,-383.4944396247175,7654.52588959567,8799.501614400651,-8799.501614400651,0
2008-02-19,2008-02-15,1363528.5589389214,21717.513182641705,26502.303944055784,5,empirical_order_statistic,-368.3967530420837,7638.997760206578,-20881.381722479127,20881.381722479127,0
2008-02-20,2008-02-19,1384409.9406614006,21986.07586483145,27052.561093433993,5,empirical_order_statistic,-397.2042007588968,7815.922267174737,-10498.14326373022,10498.14326373022,0
2008-02-21,2008-02-20,1394908.0839251308,22104.783111479366,27394.3981419235,5,empirical_order_statistic,-450.0119918639511,7904.497050214938,8788.500380330486,-8788.500380330486,0
2008-02-22,2008-02-21,1386119.5835448003,21924.559456153773,27257.890252527643,5,empirical_order_statistic,-479.79439417626986,7886.356413899762,-2074.019377058139,2074.019377058139,0
2008-02-25,2008-02-22,1388193.6029218584,21879.455690826522,27265.870571890566,5,empirical_order_statistic,-505.67102254736886,7887.031552589516,-5742.494929111097,5742.494929111097,0
2008-02-26,2008-02-25,1393936.0978509695,21825.173819388263,27175.219579575256,5,empirical_order_statistic,-446.3467944607036,7853.540752253667,-6781.249075670261,6781.249075670261,0
2008-02-27,2008-02-26,1400717.3469266398,16125.006318949396,20519.84929474648,5,empirical_order_statistic,-8331.921065178956,8329.65750368925,-13645.466953908792,13645.466953908792,0
2008-02-28,2008-02-27,1414362.8138805486,23918.31222426961,28253.532061901362,5,empirical_order_statistic,-604.0750970046535,8381.343143763554,2900.2880932837725,-2900.2880932837725,0
2008-02-29,2008-02-28,1411462.5257872648,23878.881251242943,28309.45140054538,5,empirical_order_statistic,-584.6789960213434,8375.366902018763,14845.399053038564,-14845.399053038564,0
2008-03-03,2008-02-29,1396617.1267342262,23448.75572678703,27848.790354405995,5,empirical_order_statistic,-518.8246361053936,8256.246927375243,-4314.666595650837,4314.666595650837,0
2008-03-04,2008-03-03,1400931.793329877,23539.850923713762,28091.092277582688,5,empirical_order_statistic,-543.5912551889112,8300.171777569409,4786.767187354155,-4786.767187354155,0
2008-03-05,2008-03-04,1396145.026142523,23097.655568799702,27601.407083945953,5,empirical_order_statistic,-542.5871609886331,8155.572004779745,-18398.253162475303,18398.253162475303,0
2008-03-06,2008-03-05,1414543.2793049982,23534.925793008413,28312.51228194516,5,empirical_order_statistic,-598.6832626985898,8367.843057348524,10800.230064023053,-10800.230064023053,0
2008-03-07,2008-03-06,1403743.0492409752,23014.92182714236,27704.287394073697,5,empirical_order_statistic,-546.0092892838451,8221.634361776321,8854.087082906393,-8854.087082906393,0
2008-03-10,2008-03-07,1394888.9621580688,22821.29574716161,27565.16251402362,5,empirical_order_statistic,-519.1481101978757,8176.794146610761,8631.410811681999,-8631.410811681999,0
2008-03-11,2008-03-10,1386257.5513463868,22703.227283369983,27429.998591588297,5,empirical_order_statistic,-486.1967476791204,8150.7204229963845,-13645.663764618337,13645.663764618337,0
2008-03-12,2008-03-11,1399903.2151110051,23180.683173827827,27879.515976029263,5,empirical_order_statistic,-496.81181533375985,8295.96284463266,-1715.1645040397998,1715.1645040397998,0
2008-03-13,2008-03-12,1401618.379615045,23219.17422748613,28045.12158389306,5,empirical_order_statistic,-498.65992965109274,8333.44798817648,-12252.538911264855,12252.538911264855,0
2008-03-14,2008-03-13,1413870.9185263098,23392.829681464704,28377.797755746637,5,empirical_order_statistic,-524.1218467712058,8427.780368157195,6745.099282774841,-6745.099282774841,0
2008-03-17,2008-03-14,1407125.819243535,23317.31516550947,28274.085372055833,5,empirical_order_statistic,-486.82375014102877,8404.41036868253,3396.8605857449584,-3396.8605857449584,0
2008-03-18,2008-03-17,1403728.95865779,23328.660639566602,28365.991141319602,5,empirical_order_statistic,-489.8841281809737,8427.613118711597,61.46546494378708,-61.46546494378708,0
2008-03-19,2008-03-18,1403667.4931928462,23511.91057196306,28363.086523768074,5,empirical_order_statistic,-498.46994319817844,8440.164438690372,25899.160270223627,-25899.160270223627,1
2008-03-20,2008-03-19,1377768.3329226226,24642.839327511843,27631.496284619858,5,empirical_order_statistic,-404.59613227670593,8208.623061968297,19411.68407860375,-19411.68407860375,0
