,snapshot_date,current_portfolio_value,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,avg_vol_ratio,realised_loss,realised_pnl,exception
2007-12-31,2007-12-28,1376086.4784475465,27790.329281039303,31944.211861513693,5,empirical_order_statistic,-1148.0153449732234,9621.178461183168,1.4622601409838953,11199.976273539476,-11199.976273539476,0
2008-01-02,2007-12-31,1364886.502174007,27357.87316972646,31155.82375383512,5,empirical_order_statistic,-1002.288139710085,9364.120410319101,1.4698624052218685,-2975.016302234726,2975.016302234726,0
2008-01-03,2008-01-02,1367861.5184762417,27418.079216768732,31347.747533294933,5,empirical_order_statistic,-964.6199164573858,9389.709128584074,1.4680765429849059,-3775.2342238221318,3775.2342238221318,0
2008-01-04,2008-01-03,1371636.7527000639,27181.049601607723,31182.067886508117,5,empirical_order_statistic,-935.9122523477682,9330.174918644676,1.4613753040053463,8620.214514355175,-8620.214514355175,0
2008-01-07,2008-01-04,1363016.5381857087,26269.82966584433,29598.055772146723,5,empirical_order_statistic,-779.118446131831,8755.632754243336,1.462749910733513,4680.594752085861,-4680.594752085861,0
2008-01-08,2008-01-07,1358335.9434336228,26084.181408759905,29398.292822632986,5,empirical_order_statistic,-762.7143998862286,8700.48275124375,1.4630349030269159,-26414.479889681097,26414.479889681097,0
2008-01-09,2008-01-08,1384750.423323304,26815.220140394522,31156.545642594436,5,empirical_order_statistic,-978.4974744898971,9465.27321538005,1.619745707849047,22605.07966286689,-22605.07966286689,0
2008-01-10,2008-01-09,1362145.343660437,27178.30546169728,32169.572190499865,5,empirical_order_statistic,-1055.1276374348477,9955.941047061948,1.731206054470622,-17597.24177564471,17597.24177564471,0
2008-01-11,2008-01-10,1379742.5854360817,27646.036461131414,32797.19569243006,5,empirical_order_statistic,-1116.8370598551803,10182.508873261946,1.7372730104818956,4715.822786187055,-4715.822786187055,0
2008-01-14,2008-01-11,1375026.7626498947,27790.308160769753,32315.097750207922,5,empirical_order_statistic,-5503.573090909315,11033.167211391697,1.7382339796497954,-11623.45617897436,11623.45617897436,0
2008-01-15,2008-01-14,1386650.218828869,31070.253292598296,35725.98873004294,5,empirical_order_statistic,-1420.2628604836082,11102.240286625516,1.729763534991532,20077.877742710523,-20077.877742710523,0
2008-01-16,2008-01-15,1366572.3410861585,29722.813843074488,34597.85825847559,5,empirical_order_statistic,-1260.2335641323248,10764.18409296949,1.73736833508828,9699.369202838046,-9699.369202838046,0
2008-01-17,2008-01-16,1356872.9718833205,29164.259452654747,34039.14675143077,5,empirical_order_statistic,-1189.634899379881,10570.968281796046,1.7114149558397675,9406.80264401855,-9406.80264401855,0
