,VaR_MC_COPULA
2007-12-31,25090.434052799817
2008-01-02,24768.64037862035
2008-01-03,23158.815666492756
2008-01-04,22476.083226002927
2008-01-07,22720.838753503762
2008-01-08,21903.007477504754
2008-01-09,23391.971750127625
2008-01-10,24771.577086666304
2008-01-11,23480.210499665973
2008-01-14,24253.551286751026
2008-01-15,23613.939227642804
2008-01-16,21140.592520367638
2008-01-17,22100.849872852647
2008-01-18,20879.810092624848
2008-01-22,20825.692789853827
2008-01-23,20025.195204647727
2008-01-24,23088.979249337754
2008-01-25,20988.915188060855
2008-01-28,23694.632554627122
2008-01-29,24407.74744113722
2008-01-30,23929.544668724066
2008-01-31,24073.98452531955
2008-02-01,22925.9825636801
2008-02-04,23436.66494413258
2008-02-05,22819.004063075645
2008-02-06,22747.881369537605
2008-02-07,23784.700846912216
2008-02-08,23180.03290054773
2008-02-11,23414.777705777433
2008-02-12,24536.864610970228
2008-02-13,20591.41199701515
2008-02-14,18927.023004600913
2008-02-15,19701.995354977098
2008-02-19,20338.59277742575
2008-02-20,20946.875552635403
2008-02-21,19805.772291594014
2008-02-22,20151.41946103347
2008-02-25,18796.853749475995
2008-02-26,20863.063957609742
2008-02-27,20883.348228317725
2008-02-28,20272.471987956982
2008-02-29,19440.45890540803
2008-03-03,18238.129357639853
2008-03-04,19447.915134963507
2008-03-05,18775.559464047343
2008-03-06,19482.911243187318
2008-03-07,20583.819111495985
2008-03-10,19321.10317165509
2008-03-11,20351.218666845893
2008-03-12,18179.630466846313
2008-03-13,19546.236759059368
2008-03-14,19046.518249072964
2008-03-17,18043.990567761237
2008-03-18,20263.66168174286
2008-03-19,19474.43724815047
2008-03-20,19204.319170136125
2008-03-24,20179.083823911176
2008-03-25,21423.60821862081
2008-03-26,20667.2032329142
2008-03-27,19104.611529190064
2008-03-28,19886.39034239206
2008-03-31,19085.841937093777
2008-04-01,21145.828546207376
2008-04-02,21258.53104428224
2008-04-03,20926.089846741477
2008-04-04,21613.628453790283
2008-04-07,20835.292200919645
2008-04-08,21520.377363120795
2008-04-09,18744.646570841836
2008-04-10,20573.31719034004
2008-04-11,21268.636806204184
2008-04-14,19029.00683633799
2008-04-15,19663.69574340425
2008-04-16,21408.839017925333
2008-04-17,20866.776160065594
2008-04-18,21337.253041399345
2008-04-21,22234.947851429395
2008-04-22,21843.90809041974
2008-04-23,21532.001107283468
2008-04-24,22462.646478590807
2008-04-25,21847.705730847007
2008-04-28,23063.511809689822
2008-04-29,22196.138037872934
2008-04-30,23693.110460029897
2008-05-01,22227.60940053859
2008-05-02,21781.02093696504
2008-05-05,23085.131895239243
2008-05-06,24841.79576333914
2008-05-07,23834.100200287518
2008-05-08,25981.414418841752
2008-05-09,20244.045889631012
2008-05-12,20664.915862963124
2008-05-13,19580.762984999317
2008-05-14,22511.514873934855
2008-05-15,22434.736719316268
2008-05-16,19130.059828935333
2008-05-19,21568.581560019662
2008-05-20,19309.343955448465
2008-05-21,19706.630341905424
2008-05-22,19435.468127186414
2008-05-23,19785.488005334802
2008-05-27,19766.952086183275
2008-05-28,20344.37469636632
2008-05-29,19648.8406771755
2008-05-30,21360.227822466837
2008-06-02,19161.732116352472
2008-06-03,20027.69830520914
2008-06-04,19980.98371736981
2008-06-05,19837.517224149076
2008-06-06,18729.55521136602
2008-06-09,20141.974249520597
2008-06-10,20071.044441504317
2008-06-11,18472.832985782003
2008-06-12,18435.61736601155
2008-06-13,20586.282964265134
2008-06-16,18933.553506021915
2008-06-17,18941.618210190587
2008-06-18,17903.567931502723
2008-06-19,19169.103707389873
2008-06-20,18124.39712615078
2008-06-23,20236.89453491047
2008-06-24,18605.824772270997
2008-06-25,19853.256543902233
2008-06-26,19843.17544861667
2008-06-27,19703.620630941998
2008-06-30,18938.189827538874
2008-07-01,19521.516251768717
2008-07-02,18606.291999722154
2008-07-03,19529.302282452343
2008-07-07,19402.201794211982
2008-07-08,20011.285217845463
2008-07-09,20365.8868388036
2008-07-10,17930.515436552978
2008-07-11,18479.832363623475
2008-07-14,18497.70973533342
2008-07-15,19020.04963836009
2008-07-16,18304.75684169745
2008-07-17,19234.31347452671
2008-07-18,18820.024957522182
2008-07-21,20504.441848449576
2008-07-22,18361.559148360662
2008-07-23,20016.73993487965
2008-07-24,19473.22509158182
2008-07-25,19520.915827138146
2008-07-28,19470.39130102176
2008-07-29,19096.473359353753
2008-07-30,18272.617709478505
2008-07-31,20670.70098877285
2008-08-01,18329.43889904305
2008-08-04,17349.11646459699
2008-08-05,20049.35563866911
2008-08-08,21009.67988719831
2008-08-11,20182.94672616532
2008-08-12,20045.081410016974
2008-08-13,20252.32592754986
2008-08-26,20141.18482715575
2008-08-27,20049.69617149433
2008-08-28,20999.345657747053
2008-08-29,20700.985036637343
2008-09-02,18912.74254213637
2008-09-03,19842.655294191693
2008-09-04,19477.256045685488
2008-09-05,20077.197899501556
2008-09-08,20092.04405052398
2008-09-09,18463.7046178983
2008-09-10,19220.103227228938
2008-09-11,20630.43557225301
2008-09-12,18799.799769882356
2008-09-15,20982.79411464025
2008-09-16,19824.42005329153
2008-09-17,18395.10437273063
2008-09-18,19256.60088618103
2008-09-19,19605.79027501248
2008-09-22,20607.801527093834
2008-09-23,18105.409890346116
2008-09-24,19376.48476612077
2008-09-25,18365.18675928175
2008-09-26,19763.333969944615
2008-09-29,19046.46163040381
2008-09-30,18951.499456808066
2008-10-01,19071.658055085994
2008-10-02,19975.291334471545
2008-10-03,20882.51889194738
2008-10-06,18681.074298422667
2008-10-07,18328.531747756664
2008-10-08,18267.194928269862
2008-10-09,18597.985934718083
2008-10-10,18200.6008576531
2008-10-13,19306.57328336434
2008-10-14,19820.414864247945
2008-10-15,18575.467391452523
2008-10-16,20833.647306992076
2008-10-17,20711.148325169626
2008-10-20,21088.06922572475
2008-10-21,19603.725917724634
2008-10-22,19672.928281770375
2008-10-23,19305.763754475323
2008-10-24,19496.552524140574
2008-10-27,19344.461955914496
2008-10-28,21077.445212952378
2008-10-29,18566.98577553491
2008-10-30,18522.44316779732
2008-10-31,18831.636078397805
2008-11-03,18498.020209850347
2008-11-04,19450.634951951324
2008-11-05,18950.959001855972
2008-11-06,18201.22938413048
2008-11-07,18430.87130210783
2008-11-10,18970.014234549813
2008-11-11,18863.27816114726
2008-11-12,18728.926905660705
2008-11-13,20847.17532384875
2008-11-14,20703.380228316295
2008-11-17,19436.297266266087
2008-11-18,19104.668128074034
2008-11-19,20717.278302208124
2008-11-20,18713.895183922654
2008-11-21,18728.92269708521
2008-11-24,19429.392370095076
