,VaR_MC_GARCH_COPULA
2007-12-31,24075.86624188222
2008-01-02,23966.452365907153
2008-01-03,22941.467626578895
2008-01-04,21979.18793380777
2008-01-07,23573.790482304976
2008-01-08,21815.095906013976
2008-01-09,22894.312833949654
2008-01-10,23034.41370355414
2008-01-11,23555.602325559612
2008-01-14,23795.023785421163
2008-01-15,23214.746466230154
2008-01-16,25793.967566483236
2008-01-17,24826.755954201133
2008-01-18,26097.673945858256
2008-01-22,24311.622766150333
2008-01-23,24442.55911306078
2008-01-24,25214.197327382502
2008-01-25,26687.685057569757
2008-01-28,28573.098501669883
2008-01-29,28566.663311656834
2008-01-30,28455.163690173118
2008-01-31,27905.28512747716
2008-02-01,27502.68426216578
2008-02-04,26470.145883506524
2008-02-05,25676.480735642566
2008-02-06,28054.588644061947
2008-02-07,28387.17174431769
2008-02-08,27396.423439653514
2008-02-11,27302.34545222275
2008-02-12,27866.422593568812
2008-02-13,22954.340947870212
2008-02-14,22177.794752472782
2008-02-15,22870.04619909656
2008-02-19,22456.848587852903
2008-02-20,24726.680052786807
2008-02-21,24255.425040512353
2008-02-22,25473.969684209565
2008-02-25,24126.251657014145
2008-02-26,25743.164096994093
2008-02-27,24018.474648323223
2008-02-28,23372.41297375518
2008-02-29,22585.00681435569
2008-03-03,23223.254337888757
2008-03-04,22827.700916109938
2008-03-05,23051.22797391243
2008-03-06,23609.577581759513
2008-03-07,23261.463008512022
2008-03-10,23180.664753222587
2008-03-11,22664.336629018853
2008-03-12,23880.931156948798
2008-03-13,23755.334950137356
2008-03-14,22775.0631922486
2008-03-17,23145.35313284844
2008-03-18,23720.125883845172
2008-03-19,22213.702730397785
2008-03-20,24199.040539424328
2008-03-24,25828.81080864626
2008-03-25,25623.790687446923
2008-03-26,24590.30478972916
2008-03-27,23007.082967446873
2008-03-28,25960.23799234264
2008-03-31,26175.014614002885
2008-04-01,27452.19385850503
2008-04-02,28004.873164976227
2008-04-03,27490.132452755584
2008-04-04,26738.683138081386
2008-04-07,26423.10814596278
2008-04-08,26484.48612825552
2008-04-09,25556.7700787683
2008-04-10,24860.64899014889
2008-04-11,22355.193765097025
2008-04-14,22232.45955320075
2008-04-15,22124.117236283088
2008-04-16,23502.51822114133
2008-04-17,26623.37436497107
2008-04-18,27287.55998362103
2008-04-21,27093.658968993142
2008-04-22,26316.041810306655
2008-04-23,25764.147954515203
2008-04-24,25512.070857238603
2008-04-25,24556.49318563302
2008-04-28,24700.700462738776
2008-04-29,25188.3445328187
2008-04-30,24326.8734342362
2008-05-01,24095.130932092026
2008-05-02,23406.311108334627
2008-05-05,23243.14284757197
2008-05-06,22149.581152212606
2008-05-07,22434.432232692398
2008-05-08,25139.160839081433
2008-05-09,19637.12031906581
2008-05-12,19514.466313761986
2008-05-13,18829.523666128818
2008-05-14,18401.803477210902
2008-05-15,18724.58240506152
2008-05-16,17204.43133980157
2008-05-19,19036.09979617542
2008-05-20,17800.26227864036
2008-05-21,16528.67862525649
2008-05-22,15897.668441864718
2008-05-23,15224.929239547037
2008-05-27,14904.008220569956
2008-05-28,14861.377673754056
2008-05-29,15425.245166259992
2008-05-30,15210.257647119288
2008-06-02,14628.499101355983
2008-06-03,14225.4570196089
2008-06-04,15598.489398257409
2008-06-05,15990.230474830249
2008-06-06,16262.53187770153
2008-06-09,15403.122348592242
2008-06-10,14629.976398323903
2008-06-11,13675.762770416995
2008-06-12,13587.886499546785
2008-06-13,13239.384889261732
2008-06-16,13614.39795514257
2008-06-17,13141.342910094505
2008-06-18,12133.07107929984
2008-06-19,12252.707421155133
2008-06-20,12480.844183258087
2008-06-23,13234.317102160447
2008-06-24,13160.023354630008
2008-06-25,13363.917870990275
2008-06-26,13116.65147740473
2008-06-27,12432.763203183955
2008-06-30,12556.364523969272
2008-07-01,12764.75953886968
2008-07-02,11868.411714715126
2008-07-03,12100.928663148952
2008-07-07,12230.359172114782
2008-07-08,12177.48899330846
2008-07-09,13238.049353148519
2008-07-10,12602.012200185962
2008-07-11,12735.358149907945
2008-07-14,15535.346492898216
2008-07-15,15185.43351751594
2008-07-16,15176.19708709279
2008-07-17,14501.016344953328
2008-07-18,15206.232060361306
2008-07-21,14326.923594788545
2008-07-22,14473.782744979162
2008-07-23,13947.334849861516
2008-07-24,13995.225742569784
2008-07-25,14399.981021714808
2008-07-28,14717.811615616743
2008-07-29,15029.360067068612
2008-07-30,15111.880315800177
2008-07-31,14582.079323588194
2008-08-01,13673.755078698523
2008-08-04,13948.177059400048
2008-08-05,15593.591440659158
2008-08-08,15813.910004947145
2008-08-11,15720.451672252313
2008-08-12,15233.804219951862
2008-08-13,15185.337338330797
2008-08-26,14849.386458590392
2008-08-27,15297.7272702279
2008-08-28,15527.223339737344
2008-08-29,16059.899050605145
2008-09-02,14764.822073783173
2008-09-03,17641.05900941212
2008-09-04,16205.789411984804
2008-09-05,18797.569865473422
2008-09-08,18961.435384392244
2008-09-09,18480.415813068215
2008-09-10,22903.97225781737
2008-09-11,23054.438882779195
2008-09-12,23456.140634596137
2008-09-15,23027.404340164547
2008-09-16,24160.28276524757
2008-09-17,23464.17910183818
2008-09-18,24643.075926568927
2008-09-19,26278.642555563456
2008-09-22,29518.09272870591
2008-09-23,28873.943685011756
2008-09-24,27712.970283312017
2008-09-25,28014.109494954388
2008-09-26,26708.965093264247
2008-09-29,27043.605748593687
2008-09-30,28480.824751875876
2008-10-01,33269.46302161943
2008-10-02,30878.26726304559
2008-10-03,31659.812221312186
2008-10-06,31035.354004860685
2008-10-07,31132.9539214237
2008-10-08,30085.259621429504
2008-10-09,36675.64093113451
2008-10-10,36523.79582185943
2008-10-13,38220.49669599752
2008-10-14,38208.09694013399
2008-10-15,37828.27695584487
2008-10-16,38226.46288459508
2008-10-17,38302.25712613075
2008-10-20,36046.58710691544
2008-10-21,36177.52420946849
2008-10-22,38845.2282693108
2008-10-23,39004.73403347722
2008-10-24,39894.73152019464
2008-10-27,38303.21156496587
2008-10-28,36305.902374548095
2008-10-29,39846.93474026754
2008-10-30,38400.63609780111
2008-10-31,37456.87923654083
2008-11-03,36880.517475295645
2008-11-04,35093.656241160636
2008-11-05,34252.03914792393
