,VaR_MC_GARCH_COPULA_V3
2007-12-31,26809.148704262476
2008-01-02,35919.92715037232
2008-01-03,31715.292440417837
2008-01-04,30904.233711138902
2008-01-07,36102.143012461995
2008-01-08,34628.312212472854
2008-01-09,36054.28830758373
2008-01-10,37309.597787933046
2008-01-11,37035.56277473182
2008-01-14,37648.6363225835
2008-01-15,35767.78767395805
2008-01-16,35867.427086319476
2008-01-17,35936.56708123792
2008-01-18,35203.69076536448
2008-01-22,34407.017945687665
2008-01-23,35068.86147656584
2008-01-24,36506.83469589538
2008-01-25,35952.026468768076
2008-01-28,36330.945561189146
2008-01-29,37586.468054702375
2008-01-30,36798.32429374047
2008-01-31,36937.47785667583
2008-02-01,35579.48942127622
2008-02-04,34295.72858086974
2008-02-05,33975.432640179715
2008-02-06,36642.95467899775
2008-02-07,35752.70856806718
2008-02-08,35162.716540443456
2008-02-11,39087.44796607963
2008-02-12,40575.338480253886
2008-02-13,34128.104511043086
2008-02-14,34452.15578399079
2008-02-15,33848.0745828168
2008-02-19,33319.25668393344
2008-02-20,33722.54829343036
2008-02-21,33754.682828122204
2008-02-22,33420.80543034138
2008-02-25,32986.602057233504
2008-02-26,32923.87000234686
2008-02-27,33496.96423444489
2008-02-28,33417.742380932024
2008-02-29,33123.354720689866
2008-03-03,32787.49619961768
2008-03-04,32361.2575028706
2008-03-05,33369.75902979271
2008-03-06,34819.52415678543
2008-03-07,35931.71650986263
2008-03-10,34443.73700529245
2008-03-11,33897.43692133648
2008-03-12,33719.041053129215
2008-03-13,26675.101218501895
2008-03-14,26400.085295754074
2008-03-17,28398.96507863335
2008-03-18,28600.39629258369
2008-03-19,22679.562756123585
2008-03-20,29435.458405970563
2008-03-24,31207.94984993945
2008-03-25,32373.718510271105
2008-03-26,32724.870821179364
2008-03-27,30672.47548307914
2008-03-28,29947.711585125235
2008-03-31,30536.294750558765
2008-04-01,29759.820980041357
2008-04-02,29730.03705059684
2008-04-03,30217.106080835267
2008-04-04,30509.000382015474
2008-04-07,30964.544730340873
2008-04-08,30786.521535283788
2008-04-09,31003.586703956033
2008-04-10,32088.02725888768
2008-04-11,29870.25003573399
2008-04-14,30360.563407831596
2008-04-15,30307.554693111604
2008-04-16,31160.979072415674
2008-04-17,34145.44074377343
2008-04-18,33881.11166627143
2008-04-21,34653.50482934493
2008-04-22,33810.17521987538
2008-04-23,32721.99309078044
2008-04-24,32761.52014543827
2008-04-25,35152.23405044472
2008-04-28,33782.34960862361
2008-04-29,32940.81382494501
2008-04-30,33349.78091920898
2008-05-01,34475.26871279677
2008-05-02,34257.369502909685
2008-05-05,35977.50613186773
2008-05-06,33652.596494766214
2008-05-07,33827.38061413619
2008-05-08,35911.108600943815
2008-05-09,30558.76162209439
2008-05-12,30274.81989292365
2008-05-13,29638.52231727297
2008-05-14,30974.6977717082
2008-05-15,31172.800464550994
2008-05-16,32963.00800209364
2008-05-19,34876.81997842727
2008-05-20,32852.87195205478
2008-05-21,32322.9798323554
2008-05-22,32192.67934619398
2008-05-23,41761.20656053353
2008-05-27,32511.583384717378
2008-05-28,31735.277679257833
2008-05-29,31269.56590452573
2008-05-30,33021.12253522374
2008-06-02,31939.076904552847
2008-06-03,31623.19371134424
2008-06-04,32206.517809978537
2008-06-05,32668.455963127755
2008-06-06,32309.75502819658
2008-06-09,30596.08834995444
2008-06-10,30862.079799589446
2008-06-11,33391.1127499221
2008-06-12,31951.359171736218
2008-06-13,32280.867812918877
2008-06-16,31342.188460702582
2008-06-17,31573.587294196317
2008-06-18,30203.709212472713
2008-06-19,29935.49436044821
2008-06-20,29989.01786446181
2008-06-23,30953.83090821236
2008-06-24,30838.9126063746
2008-06-25,30446.3177893717
2008-06-26,30008.38825506533
2008-06-27,29779.89911220376
2008-06-30,29218.3007393446
2008-07-01,29138.906267810915
2008-07-02,29333.612134276274
2008-07-03,29021.44778060967
