,VaR_MC_T_COPULA
2009-01-12,32485.343213859283
2009-01-13,32450.20276381471
2009-01-14,33354.81130914851
2009-01-15,31312.09753376847
2009-01-16,31132.6615386878
2009-01-20,30246.686554188367
2009-01-21,28987.144293917936
2009-01-22,32811.24612652058
2009-01-23,30987.185046275124
2009-01-26,30885.165469742395
2009-01-27,29271.995949386444
2009-01-28,29461.34783826087
2009-01-29,31052.39751557064
2009-01-30,30378.79471325792
2009-02-02,30906.084504232545
2009-02-03,28416.912279585235
2009-02-04,29288.055060041577
2009-02-05,31539.396258318026
2009-02-06,31216.353318137142
2009-02-09,29514.890668038865
2009-02-10,30433.365233555072
2009-02-11,32246.64719269417
2009-02-12,32673.546940378717
2009-02-13,31924.759216022245
2009-02-17,29839.19206161132
2009-02-18,31567.08550724086
2009-02-19,30071.842617624232
2009-02-20,32896.258383862085
2009-02-23,30042.691002542066
2009-02-24,28539.95719953359
2009-02-25,29924.835573529148
2009-02-26,31712.82702954626
2009-02-27,30941.492836297737
2009-03-02,31403.437294552292
2009-03-03,31330.075966861034
2009-03-04,29140.7905843689
2009-03-05,29811.541980556365
2009-03-06,31750.024756856114
2009-03-09,30225.69938323
2009-03-10,30186.109434876973
2009-03-11,28376.62456644971
2009-03-12,33417.77864692907
2009-03-13,30944.251541177797
2009-03-16,30662.76104683755
2009-03-17,30554.186815741446
2009-03-18,31023.169553789627
2009-03-19,36376.73263144333
2009-03-20,34039.252843211114
2009-03-23,33342.63326728967
2009-03-24,32108.38743721646
2009-03-25,33762.17572488187
2009-03-26,33658.98647234087
2009-03-27,36031.103285571524
2009-03-30,34457.13912977053
2009-03-31,33470.536030050185
2009-04-01,33205.07339561504
2009-04-02,35091.06397277934
2009-04-03,33456.000949353525
2009-04-06,36668.416514468874
2009-04-07,34309.55119608726
2009-04-08,36382.974685742374
2009-04-09,30985.602021972918
2009-04-13,30840.163725189745
2009-04-14,31185.758145595137
2009-04-15,29335.332649859152
2009-04-16,31497.473118004396
2009-04-17,32511.12059824245
2009-04-20,33581.40381762451
2009-04-21,30491.372373908092
2009-04-22,28998.455044200702
2009-04-23,31023.04833993507
2009-04-24,34595.50798710705
2009-04-27,32783.17868006465
2009-04-28,31730.295896817745
2009-04-29,30585.348564583994
2009-04-30,32698.89334628173
2009-05-01,34049.990774606944
2009-05-04,34998.0172019496
2009-05-05,36346.16595244264
2009-05-06,32798.52523270161
2009-05-07,35775.80935614564
2009-05-08,36065.40242635312
2009-05-11,35224.611462510766
2009-05-12,33895.850588484696
2009-05-13,35314.02245727645
2009-05-14,34201.36221388882
2009-05-15,31798.525847025623
2009-05-18,35403.45951677646
2009-05-19,34476.00690718642
2009-05-20,38708.63014444721
2009-05-21,35431.77876250952
2009-05-22,32409.773795337827
2009-05-26,31316.540473666628
2009-05-27,32881.17857426658
2009-05-28,30544.22239352889
2009-05-29,32369.364673955693
2009-06-01,32206.293785111655
2009-06-02,33584.62680406159
2009-06-03,32702.620198730943
2009-06-04,32095.845313895985
2009-06-05,35331.6920859282
2009-06-08,35551.39581641268
2009-06-09,34172.81915658066
2009-06-10,33402.813170583395
2009-06-11,34796.280852326585
2009-06-12,37621.21351495607
2009-06-15,35402.47732267906
2009-06-16,35566.88161652487
2009-06-17,37466.77289674363
2009-06-18,35468.11597450215
2009-06-19,35189.46366075093
2009-06-22,36533.585940365054
2009-06-23,34697.880226871144
2009-06-24,32604.213432337616
2009-06-25,35774.04940495924
2009-06-26,34190.59434957868
2009-06-29,34220.540316617895
2009-06-30,36089.920152114166
2009-07-01,34646.03016833679
2009-07-02,35154.27238791681
2009-07-06,35258.33844688412
2009-07-07,33961.370681884924
2009-07-08,31147.82092787729
2009-07-09,32408.01810903135
2009-07-10,31401.436740763296
2009-07-13,33001.2993897918
2009-07-14,33080.10719176169
2009-07-15,32371.196086543994
2009-07-16,34475.002102189
2009-07-17,37659.49952507532
2009-07-20,36111.752229369115
2009-07-21,34848.47898562861
2009-07-22,38296.86258046323
2009-07-23,36703.36425804681
2009-07-24,39447.85003149786
2009-07-27,38077.89628373536
2009-07-28,39792.72749995465
2009-07-29,41501.62300793343
2009-07-30,40317.04592441552
2009-07-31,39329.15782501614
2009-08-03,38946.14514938002
2009-08-04,40125.13146151596
2009-08-05,39931.20290948705
2009-08-06,42151.101076025734
2009-08-07,40366.31439965284
2009-08-10,37938.00139468156
2009-08-11,38660.556870780456
2009-08-12,38060.70062997051
2009-08-13,39426.34099598802
2009-08-14,42756.31371069529
2009-08-17,40790.9933595041
2009-08-18,39690.69166483143
2009-08-19,38052.283122419845
2009-08-20,35887.23028762704
2009-08-21,34102.2968425178
2009-08-24,36192.37065396288
2009-08-25,36505.83178048205
2009-08-26,36650.07726538662
2009-08-27,36790.018077882174
2009-08-28,39241.24370416418
2009-08-31,37560.579419609116
2009-09-01,36533.19360711791
2009-09-02,39716.58260644586
2009-09-03,39015.09630467875
2009-09-04,37853.479203257724
2009-09-08,38340.939547568756
2009-09-09,36061.82200609329
2009-09-10,39806.94372135075
2009-09-11,43370.84082076875
2009-09-14,41736.749414484
2009-09-15,43474.86024680337
2009-09-16,42318.63659965979
2009-09-17,43250.86123614297
2009-09-18,41454.561435834454
