"Model","Distribution","logLik","AIC","BIC","GoF_p_min","GoF_p_mean","GoF_pass","Converged"
"eGARCH","std",18227.38,-7.6395,-7.6246,0.0021,0.096,FALSE,TRUE
"eGARCH","sstd",18228.43,-7.6395,-7.6232,0.0091,0.1274,FALSE,TRUE
"eGARCH","jsu",18219.85,-7.6359,-7.6196,0.002,0.0675,FALSE,TRUE
"gjrGARCH","std",18208.84,-7.6317,-7.6168,0.0203,0.1753,FALSE,TRUE
"gjrGARCH","sstd",18208.34,-7.6311,-7.6148,0.0611,0.4601,TRUE,TRUE
"sGARCH","std",18206.17,-7.631,-7.6175,0.2373,0.3685,TRUE,TRUE
"eGARCH","nig",18204.89,-7.6296,-7.6134,3e-04,0.0145,FALSE,TRUE
"sGARCH","sstd",18202.27,-7.629,-7.614,0.0943,0.2487,TRUE,TRUE
"sGARCH","jsu",18202.19,-7.6289,-7.614,0.3164,0.4743,TRUE,TRUE
"gjrGARCH","jsu",18202.73,-7.6287,-7.6125,0.2127,0.3784,TRUE,TRUE
"gjrGARCH","nig",18193.62,-7.6249,-7.6086,0.0036,0.2959,FALSE,TRUE
"sGARCH","nig",18192.41,-7.6248,-7.6099,0.0669,0.1653,TRUE,TRUE
"apARCH","std",18183.84,-7.6208,-7.6045,0.0171,0.1569,FALSE,TRUE
"apARCH","sstd",18182.47,-7.6198,-7.6022,0.3082,0.6358,TRUE,TRUE
"apARCH","jsu",18177.4,-7.6177,-7.6001,0.2416,0.3032,TRUE,TRUE
"gjrGARCH","ged",18163.38,-7.6127,-7.5977,1e-04,0.005,FALSE,TRUE
"apARCH","nig",18165.52,-7.6127,-7.5951,0.1204,0.408,TRUE,TRUE
"gjrGARCH","sged",18163.34,-7.6122,-7.5959,1e-04,0.0042,FALSE,TRUE
"eGARCH","ged",18162.33,-7.6122,-7.5973,0,0,FALSE,TRUE
"eGARCH","sged",18162.97,-7.6121,-7.5958,0,0,FALSE,TRUE
"sGARCH","ged",18160.65,-7.6119,-7.5984,0,2e-04,FALSE,TRUE
"sGARCH","sged",18161,-7.6117,-7.5967,0,0.0042,FALSE,TRUE
"apARCH","ged",18146.41,-7.6051,-7.5888,0.0116,0.0205,FALSE,TRUE
"apARCH","sged",18147.24,-7.6051,-7.5874,0.0146,0.0345,FALSE,TRUE
"gjrGARCH","norm",18001.74,-7.5453,-7.5317,0,0,FALSE,TRUE
"sGARCH","norm",17999.41,-7.5447,-7.5325,0,0,FALSE,TRUE
"apARCH","norm",17984.72,-7.5377,-7.5228,0,0,FALSE,TRUE
"eGARCH","norm",17967.83,-7.5311,-7.5175,0,0,FALSE,TRUE
