,observations,actual_exceptions,old_exceptions,actual_exception_rate
2007,1,0,0,0.0
2008,243,21,29,0.08641975308641975
2009,252,1,0,0.003968253968253968
2010,252,1,0,0.003968253968253968
2011,252,20,4,0.07936507936507936
2012,250,6,0,0.024
2013,252,8,1,0.031746031746031744
2014,252,3,0,0.011904761904761904
2015,252,9,3,0.03571428571428571
2016,252,6,2,0.023809523809523808
2017,251,0,0,0.0
2018,251,17,2,0.06772908366533864
2019,252,10,1,0.03968253968253968
2020,253,34,7,0.13438735177865613
2021,252,6,0,0.023809523809523808
2022,251,23,1,0.09163346613545817
2023,250,6,1,0.024
2024,251,25,0,0.099601593625498
Total,4269,196,51,0.04591239166081049
