,VaR,actual_loss,exception,cvm_pvalue
2007-12-31,15042.6014750083,10607.31809236484,0,0.286
2008-01-02,15511.762510066037,3722.5490007275457,0,0.286
2008-01-03,15597.880138445267,-2437.524357515498,0,0.286
2008-01-04,15403.23082211475,6740.810762117106,0,0.286
2008-01-07,15360.913599954158,4055.6305451198336,0,0.286
2008-01-08,15504.57122825675,-19758.821431092063,0,0.286
2008-01-09,15813.420061042414,19333.85985376299,1,0.286
2008-01-10,15614.330027166367,-15392.44520459828,0,0.286
2008-01-11,15786.972688841439,6765.992735779973,0,0.286
2008-01-14,15867.88944060786,-3604.019562512882,0,0.286
2008-01-15,15430.45187664598,18898.179720875847,1,0.286
2008-01-16,15758.236946016767,6500.382691260052,0,0.286
2008-01-17,15833.48214899289,10805.213025551937,0,0.286
2008-01-18,15670.756828463456,998.4208015301124,0,0.286
2008-01-22,15713.354190531676,5052.215442011442,0,0.286
2008-01-23,15604.869676911878,-362.4688344133124,0,0.286
2008-01-24,15559.710738121363,-23592.30742138078,0,0.286
2008-01-25,15757.70539035374,8228.196372486927,0,0.286
2008-01-28,15414.937711496359,-7615.804764759945,0,0.286
2008-01-29,16130.291192086657,-5395.545008262833,0,0.286
2008-01-30,15862.525405290055,-10175.049696151453,0,0.286
2008-01-31,15970.188910773702,7155.969949143673,0,0.286
2008-02-01,16133.597773925252,7667.31171613322,0,0.286
2008-02-04,15794.733008220319,-1185.534207087836,0,0.286
2008-02-05,15937.164479326968,17801.73180547939,1,0.286
2008-02-06,15944.259770618452,-1193.4594133443024,0,0.286
2008-02-07,16273.998036745917,-10258.759427078672,0,0.286
2008-02-08,15944.06642197527,-12504.147646268835,0,0.286
2008-02-11,15939.585217864433,17770.63325661773,1,0.286
2008-02-12,15837.373073720966,-164.19701344858072,0,0.286
2008-02-13,15979.964656501756,-3943.035121206849,0,0.286
2008-02-14,16142.787990116565,-13238.722565295631,0,0.286
2008-02-15,15947.730094434886,9636.42485898642,0,0.286
