,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2007-12-31,10800.731504116222,11276.340009814467,12443.294158419934,12918.902664118179,11199.976273539649,1,475.60850569824504,4847.228626313565
2008-01-02,10822.300246072371,11281.028941763272,12465.545911397478,12924.274607088379,-2580.27634467437,0,458.7286956909004,4849.244202746105
2008-01-03,10815.289010964618,11299.6768707544,12461.251017914246,12945.638877704028,-3775.234223822064,0,484.38785978978206,4857.260170262922
2008-01-04,10794.029929805065,11265.87602218941,12435.068352374628,12906.914444758973,8620.214514355599,0,471.8460923843454,4842.730594122498
2008-01-07,10834.613399841213,11286.743301675213,12478.691444659704,12930.821346493703,4680.594752085621,0,452.12990183399927,4851.700567925064
2008-01-08,10827.323916542598,11282.320937242896,12470.75777976902,12925.754800469316,-26414.479889681123,0,454.9970207002977,4849.799577758604
2008-01-09,10926.244225559047,11407.496216611607,12587.91168576411,13069.16367681667,22605.07966286689,1,481.2519910525609,4903.607213652407
2008-01-10,11035.740746195901,11495.081897192445,12710.166332517118,13169.507483513662,-17597.24177564428,0,459.34115099654497,4941.256647581952
2008-01-11,11038.94111049265,11499.578433056446,12714.021682551927,13174.659005115724,4715.8227861864725,0,460.6373225637964,4943.189520955782
2008-01-14,11034.069238802535,11498.032812417932,12708.924668773481,13172.888242388879,-11623.456178974317,0,463.96357361539845,4942.525123057359
2008-01-15,11002.191767886616,11491.164067468184,12676.046665421809,13165.018965003377,20077.877742710683,1,488.972299581569,4939.572535859892
2008-01-16,11061.513919935724,11517.807609601377,12739.24983624547,13195.543525911124,9699.36920283811,0,456.2936896656536,4951.025484247578
2008-01-17,11093.950076833165,11542.925274993288,12775.344745814447,13224.31994397457,9406.802644018388,0,448.9751981601217,4961.822521815429
2008-01-18,11116.225141064453,11540.450427960508,12797.25931264076,13221.484599536814,-809.969422958724,0,424.22528689605406,4960.758688215822
2008-01-22,11114.732883469007,11539.876816550463,12795.683500214633,13220.827433296088,237.98048276518605,0,425.1439330814555,4960.512116576023
2008-01-23,11118.364314003868,11555.889867899738,12801.647464187192,13239.173018083062,465.1558630757845,0,437.5255538958701,4967.395460003702
2008-01-24,11113.184879503373,11559.99741696424,12797.066353849345,13243.87889131021,-25180.642219630325,0,446.81253746086696,4969.161124163537
