,pnl,actual_loss,VaR_DN_full,VaR_DN_nodrift,mu_deltaV,sigma_deltaV,portfolio_value_linear,exception
2007-12-05,-3175.893471307896,3175.893471307896,14651.685233598706,15255.080822641212,603.3955890425053,6557.523486864973,1262602.307091339,0
2007-12-06,7578.350107951692,-7578.350107951692,14596.810766639552,15180.812423757625,584.0016571180729,6525.598597336485,1259426.413620031,0
2007-12-07,-5561.736180120667,5561.736180120667,14710.052335743034,15327.062478207528,617.0101424644952,6588.4654007418885,1267004.7637279828,0
2007-12-10,9420.244922192076,-9420.244922192076,14607.68343670237,15184.148984713695,576.4655480113242,6527.032845839601,1261443.027547862,0
2007-12-11,-11040.299749608159,11040.299749608159,14825.732346162442,15417.278191484103,591.5458453216611,6627.2453761201505,1270863.272470054,0
2007-12-12,9435.345552830302,-9435.345552830302,14639.88988881823,15212.285297514909,572.3954086966779,6539.127474125929,1259822.9727204458,0
2007-12-13,-13859.123124128279,13859.123124128279,14896.529209582819,15483.82070510385,587.2914955210305,6655.849229551651,1269258.3182732763,0
2007-12-14,-8570.401066143357,8570.401066143357,14716.786160213274,15274.397043956247,557.6108837429731,6565.826725400611,1255399.1951491479,0
2007-12-17,-4959.953502470041,4959.953502470041,14692.05737849863,15209.260525840185,517.203147341556,6537.827250840979,1246828.7940830046,0
2007-12-18,7470.800161007372,-7470.800161007372,14615.14748201289,15121.312841585128,506.1653595722391,6500.022206618468,1241868.8405805347,0
2007-12-19,1585.3525334940068,-1585.3525334940068,14771.065774656383,15300.249401746918,529.1836270905359,6576.939576612225,1249339.640741542,0
2007-12-20,-2321.183441491374,2321.183441491374,14711.105827048448,15262.14643771612,551.040610667671,6560.560700324641,1250924.9932750359,0
2007-12-21,10141.331576696328,-10141.331576696328,14645.674882304289,15169.625936016539,523.9510537122496,6520.789992455885,1248603.8098335448,0
2007-12-24,1814.719632315736,-1814.719632315736,14857.94035187553,15421.703096406367,563.7627445308368,6629.147458337363,1258745.141410241,0
2007-12-25,-21.547481683897555,21.547481683897555,14876.571937948109,15426.886286062765,550.3143481146558,6631.3754955601,1260559.8610425566,0
2007-12-26,7732.811874357926,-7732.811874357926,14872.56157087539,15425.570535911094,553.0089650357031,6630.809909404068,1260538.3135608728,0
2007-12-27,820.3442682544323,-820.3442682544323,15069.466647754653,15641.651851984745,572.1852042300922,6723.694261948608,1268271.1254352308,0
2007-12-28,10426.509010901233,-10426.509010901233,15044.902003315372,15621.610248143581,576.708244828209,6715.079211695461,1269091.469703485,0
2007-12-31,-5900.715323851332,5900.715323851332,15239.59839557916,15847.088791526177,607.4903959470179,6812.003040628639,1279517.9787143865,0
2008-01-01,394.7399575608265,-394.7399575608265,15162.482823092276,15742.369392489914,579.8865693976385,6766.988535186524,1273617.263390535,0
2008-01-02,12703.098328641923,-12703.098328641923,15163.6405224776,15744.645238064371,581.0047155867704,6767.966826352627,1274012.0033480958,0
