,VaR,actual_loss,exception,xi,threshold_u
2007-12-31,16933.750772118907,10607.31809236484,0,0.0221537524375975,6644.708312640819
2008-01-02,16967.38541415581,3722.5490007275457,0,0.01639191621082638,6748.719275066462
2008-01-03,16967.38541415581,-2437.524357515498,0,0.01639191621082638,6748.719275066462
2008-01-04,16967.38541415581,6740.810762117106,0,0.01639191621082638,6748.719275066462
2008-01-07,16967.38541415581,4055.6305451198336,0,0.01639191621082638,6748.719275066462
2008-01-08,16967.38541415581,-19758.821431092063,0,0.01639191621082638,6748.719275066462
2008-01-09,16967.38541415581,19333.85985376299,1,0.01639191621082638,6748.719275066462
2008-01-10,17403.65988133535,-15392.44520459828,0,-0.012210214827271007,6822.004695781718
2008-01-11,17403.65988133535,6765.992735779973,0,-0.012210214827271007,6822.004695781718
2008-01-14,17403.65988133535,-3604.019562512882,0,-0.012210214827271007,6822.004695781718
2008-01-15,17403.65988133535,18898.179720875847,1,-0.012210214827271007,6822.004695781718
2008-01-16,17807.626103096758,6500.382691260052,0,-0.05816684528360701,6876.50795858865
2008-01-17,17807.626103096758,10805.213025551937,0,-0.05816684528360701,6876.50795858865
2008-01-18,17888.521485758545,998.4208015301124,0,-0.0888234359310126,6909.22910901193
2008-01-22,17888.521485758545,5052.215442011442,0,-0.0888234359310126,6909.22910901193
2008-01-23,17888.521485758545,-362.4688344133124,0,-0.0888234359310126,6909.22910901193
2008-01-24,17888.521485758545,-23592.30742138078,0,-0.0888234359310126,6909.22910901193
2008-01-25,17888.521485758545,8228.196372486927,0,-0.0888234359310126,6909.22910901193
2008-01-28,17905.43390137203,-7615.804764759945,0,-0.09627266135309398,6931.113461404123
2008-01-29,17905.43390137203,-5395.545008262833,0,-0.09627266135309398,6931.113461404123
2008-01-30,17905.43390137203,-10175.049696151453,0,-0.09627266135309398,6931.113461404123
2008-01-31,17905.43390137203,7155.969949143673,0,-0.09627266135309398,6931.113461404123
2008-02-01,17900.780761923343,7667.31171613322,0,-0.09444510463246687,6944.982243690528
2008-02-04,17898.456151051025,-1185.534207087836,0,-0.09376626389873055,6972.936532466844
2008-02-05,17854.455674080797,17801.73180547939,0,-0.07615649903446739,6944.982243690528
2008-02-06,18200.3680216335,-1193.4594133443024,0,-0.13675424713388673,6972.936532466844
2008-02-07,18200.3680216335,-10258.759427078672,0,-0.13675424713388673,6972.936532466844
2008-02-08,18200.3680216335,-12504.147646268835,0,-0.13675424713388673,6972.936532466844
2008-02-11,18200.3680216335,17770.63325661773,0,-0.13675424713388673,6972.936532466844
2008-02-12,18452.877101473186,-164.19701344858072,0,-0.16651884247446352,7112.950622509092
2008-02-13,18452.877101473186,-3943.035121206849,0,-0.16651884247446352,7112.950622509092
2008-02-14,18452.877101473186,-13238.722565295631,0,-0.16651884247446352,7112.950622509092
2008-02-15,18452.877101473186,9636.42485898642,0,-0.16651884247446352,7112.950622509092
2008-02-19,18474.514298993086,-18965.77252400744,0,-0.17285392851951054,7172.924350804086
2008-02-20,18474.514298993086,-7821.843629470523,0,-0.17285392851951054,7172.924350804086
2008-02-21,18474.514298993086,12871.641257152602,0,-0.17285392851951054,7172.924350804086
2008-02-22,18521.776904237133,-2130.87358002745,0,-0.17663509065229777,7328.668800308793
2008-02-25,18521.776904237133,-9865.014832787783,0,-0.17663509065229777,7328.668800308793
2008-02-26,18521.776904237133,-3961.981658927048,0,-0.17663509065229777,7328.668800308793
2008-02-27,18521.776904237133,-1504.6819271432114,0,-0.17663509065229777,7328.668800308793
2008-02-28,18521.776904237133,8500.414986069058,0,-0.17663509065229777,7328.668800308793
2008-02-29,18524.23905172118,18387.836901355386,0,-0.176989966177159,7366.2302746065725
2008-03-03,18807.897702887698,-2298.5676891285307,0,-0.21773729376346068,7470.598921072498
2008-03-04,18807.897702887698,-1073.8536515596916,0,-0.21773729376346068,7470.598921072498
2008-03-05,18807.897702887698,-14016.492168220357,0,-0.21773729376346068,7470.598921072498
2008-03-06,18807.897702887698,10232.921828618768,0,-0.21773729376346068,7470.598921072498
2008-03-07,18741.91392484362,8903.350792491328,0,-0.1877907459752896,7667.99731511416
2008-03-10,18757.180635607943,10036.029308669187,0,-0.19334690401153276,7689.3235195139
2008-03-11,18720.153218951502,-16003.42856887357,0,-0.17510683873878388,7827.797580776197
2008-03-12,18720.153218951502,3577.3828761738005,0,-0.17510683873878388,7827.797580776197
2008-03-13,18720.153218951502,-10327.465142262889,0,-0.17510683873878388,7827.797580776197
2008-03-14,18720.153218951502,9745.33861816732,0,-0.17510683873878388,7827.797580776197
2008-03-17,18733.157148927792,6740.149956567069,0,-0.17895485291087532,7878.09632593991
2008-03-18,18733.157148927792,-8355.104510060712,0,-0.17895485291087532,7878.09632593991
2008-03-19,18733.157148927792,20484.89375409992,1,-0.17895485291087532,7878.09632593991
2008-03-20,18974.899930130272,13082.517517940254,0,-0.1586417503157311,8169.496384513689
2008-03-24,19061.21117317563,-16620.618606194712,0,-0.18969945160497853,8228.984212626554
2008-03-25,19061.21117317563,-6008.3407759992,0,-0.18969945160497853,8228.984212626554
2008-03-26,19061.21117317563,-3524.3105343101456,0,-0.18969945160497853,8228.984212626554
2008-03-27,19061.21117317563,-2396.466973601965,0,-0.18969945160497853,8228.984212626554
2008-03-28,19061.21117317563,14826.418113791176,0,-0.18969945160497853,8228.984212626554
2008-03-31,19235.235323412533,5329.5923064709605,0,-0.2425992061801863,8237.748308109378
2008-04-01,19235.235323412533,-5530.829376932394,0,-0.2425992061801863,8237.748308109378
2008-04-02,19235.235323412533,-7584.626646582972,0,-0.2425992061801863,8237.748308109378
2008-04-03,19235.235323412533,-1396.7784317545777,0,-0.2425992061801863,8237.748308109378
2008-04-04,19235.235323412533,6199.643578162399,0,-0.2425992061801863,8237.748308109378
2008-04-07,19235.235323412533,-6723.521775558775,0,-0.2425992061801863,8237.748308109378
2008-04-08,19235.235323412533,4186.719194775411,0,-0.2425992061801863,8237.748308109378
2008-04-09,19235.235323412533,458.9835604535898,0,-0.2425992061801863,8237.748308109378
2008-04-10,19235.235323412533,-1393.743779293774,0,-0.2425992061801863,8237.748308109378
2008-04-11,19235.235323412533,9760.023751520934,0,-0.2425992061801863,8237.748308109378
2008-04-14,19258.09838646893,-1825.216437395955,0,-0.24972252841408749,8257.467001243056
2008-04-15,19258.09838646893,-6349.756276060648,0,-0.24972252841408749,8257.467001243056
2008-04-16,19258.09838646893,-23431.924982696397,0,-0.24972252841408749,8257.467001243056
2008-04-17,19166.129156851664,284.0741559487332,0,-0.22106046562519516,8237.748308109378
2008-04-18,19166.129156851664,3032.763292209422,0,-0.22106046562519516,8237.748308109378
2008-04-21,19166.129156851664,-47.26986411256297,0,-0.22106046562519516,8237.748308109378
2008-04-22,19166.129156851664,1097.625811666518,0,-0.22106046562519516,8237.748308109378
2008-04-23,19166.129156851664,3071.344776613192,0,-0.22106046562519516,8237.748308109378
2008-04-24,19166.129156851664,-172.4588658582831,0,-0.22106046562519516,8237.748308109378
2008-04-25,19166.129156851664,-5929.088768843248,0,-0.22106046562519516,8237.748308109378
2008-04-28,19166.129156851664,2938.1219282544234,0,-0.22106046562519516,8237.748308109378
2008-04-29,19166.129156851664,8789.735144342356,0,-0.22106046562519516,8237.748308109378
2008-04-30,19165.805469448853,5739.147816578987,0,-0.22056374944375878,8257.467001243056
2008-05-01,19165.805469448853,-398.2419907997805,0,-0.22056374944375878,8257.467001243056
2008-05-02,19165.805469448853,-8106.431352524075,0,-0.22056374944375878,8257.467001243056
2008-05-05,19165.805469448853,-3366.262066320245,0,-0.22056374944375878,8257.467001243056
2008-05-06,19165.805469448853,-9061.654579015045,0,-0.22056374944375878,8257.467001243056
2008-05-07,19165.805469448853,16920.734999957112,0,-0.22056374944375878,8257.467001243056
2008-05-08,19376.232663231465,1921.8299987182231,0,-0.26704886716663406,8319.482569018835
2008-05-09,19376.232663231465,1627.4373575127638,0,-0.26704886716663406,8319.482569018835
2008-05-12,19069.746525699295,-4380.086511246838,0,-0.21439170703527666,8257.467001243056
2008-05-13,19069.746525699295,-3677.3710896168222,0,-0.21439170703527666,8257.467001243056
2008-05-14,19069.746525699295,-1918.599542899747,0,-0.21439170703527666,8257.467001243056
2008-05-15,19069.746525699295,-3198.573049275197,0,-0.21439170703527666,8257.467001243056
2008-05-16,19035.086704067246,-10155.97661999748,0,-0.20185773471525895,8237.748308109378
2008-05-19,19035.086704067246,425.51147545344384,0,-0.20185773471525895,8237.748308109378
2008-05-20,19035.086704067246,1546.9004951631102,0,-0.20185773471525895,8237.748308109378
2008-05-21,18963.19626208239,436.33270559851553,0,-0.17275450642953497,8228.984212626554
2008-05-22,18963.19626208239,-5313.550461773937,0,-0.17275450642953497,8228.984212626554
