,pnl,actual_loss,VaR_HistSim,ES_HistSim,tail_scenarios,snapshot_date,current_portfolio_value,exception
2007-12-31,-11199.976273539476,11199.976273539476,23040.725192097016,26836.076141795747,5,2007-12-28,1376086.4784475465,0
2008-01-02,2975.016302234726,-2975.016302234726,22595.632698955247,26383.174975818816,5,2007-12-31,1364886.502174007,0
2008-01-03,3775.2342238221318,-3775.2342238221318,22540.43637425662,26620.259386932383,5,2008-01-02,1367861.5184762417,0
2008-01-04,-8620.214514355408,8620.214514355408,22566.363059764495,26778.37528215572,5,2008-01-03,1371636.7527000639,0
2008-01-07,-4680.594752085628,4680.594752085628,21307.71116573736,25792.452398143894,5,2008-01-04,1363016.5381857085,0
2008-01-08,26414.479889681097,-26414.479889681097,21124.242657314287,25642.322696668423,5,2008-01-07,1358335.9434336228,0
2008-01-09,-22605.07966286689,22605.07966286689,20969.264599030837,25834.763294684468,5,2008-01-08,1384750.423323304,1
2008-01-10,17597.241775644245,-17597.241775644245,21516.04916334641,25867.808979710146,5,2008-01-09,1362145.343660437,0
2008-01-11,-4715.822786186356,4715.822786186356,21706.496999469586,26191.81081485632,5,2008-01-10,1379742.5854360813,0
2008-01-14,11623.456178974127,-11623.456178974127,18923.26016501081,22734.16376695265,5,2008-01-11,1375026.762649895,0
2008-01-15,-20077.87774271029,20077.87774271029,23301.42923000129,27117.18936512368,5,2008-01-14,1386650.218828869,0
2008-01-16,-9699.369202838512,9699.369202838512,22485.447935250355,26273.206499902484,5,2008-01-15,1366572.3410861588,0
2008-01-17,-9406.802644018317,9406.802644018317,22067.798251855653,25775.83117677965,5,2008-01-16,1356872.9718833202,0
2008-01-18,809.9694229585584,-809.9694229585584,21582.171696493402,25246.01298290137,5,2008-01-17,1347466.169239302,0
2008-01-22,-4350.280211306177,4350.280211306177,21524.7110860548,25447.391824354232,5,2008-01-18,1348276.1386622605,0
2008-01-23,-465.1558630759828,465.1558630759828,21639.53830723511,25476.897527293208,5,2008-01-22,1343925.8584509543,0
2008-01-24,25180.642219630303,-25180.642219630303,21965.8388154828,25733.14079067018,5,2008-01-23,1343460.7025878783,0
2008-01-25,-6480.591974121053,6480.591974121053,22286.173375378596,26345.99341979264,5,2008-01-24,1368641.3448075086,0
2008-01-28,10561.409041226376,-10561.409041226376,22099.145647942787,26230.566072917638,5,2008-01-25,1362160.7528333876,0
2008-01-29,2653.8534495183267,-2653.8534495183267,22608.931314372458,26840.422978595412,5,2008-01-28,1372722.161874614,0
2008-01-30,10837.639377761167,-10837.639377761167,22569.16492187418,26795.420489237084,5,2008-01-29,1375376.0153241323,0
2008-01-31,-6565.026544608641,6565.026544608641,22451.03006937285,26875.644400832894,5,2008-01-30,1386213.6547018935,0
2008-02-01,-11258.238807725953,11258.238807725953,22882.248998647556,27162.01757954578,5,2008-01-31,1379648.6281572848,0
2008-02-04,-119.12435812666081,119.12435812666081,23138.509597019758,27209.798069016542,5,2008-02-01,1368390.3893495589,0
2008-02-05,-19225.709043735173,19225.709043735173,22659.0492393882,26793.162266204366,5,2008-02-04,1368271.2649914322,0
2008-02-06,3599.871402153978,-3599.871402153978,21838.08885620674,25993.205437994795,5,2008-02-05,1349045.555947697,0
2008-02-07,8906.22139275819,-8906.22139275819,21855.777670609765,26199.219919112606,5,2008-02-06,1352645.427349851,0
2008-02-08,21426.120083578862,-21426.120083578862,21951.660661323695,26456.463858619285,5,2008-02-07,1361551.6487426092,0
2008-02-11,-21157.93200146174,21157.93200146174,22582.026022189762,26899.496360580855,5,2008-02-08,1382977.768826188,0
2008-02-12,-4249.798365574796,4249.798365574796,22163.251363726566,26864.217315868194,5,2008-02-11,1361819.8368247263,0
2008-02-13,3046.6372586032376,-3046.6372586032376,22000.254256344633,26566.21060346542,5,2008-02-12,1357570.0384591515,0
2008-02-14,11711.384835567325,-11711.384835567325,22185.74980504322,26779.151775412356,5,2008-02-13,1360616.6757177548,0
2008-02-15,-8799.501614400651,8799.501614400651,21812.80851955316,26606.14222959131,5,2008-02-14,1372328.060553322,0
2008-02-19,20881.381722479127,-20881.381722479127,21717.513182641705,26502.303944055784,5,2008-02-15,1363528.5589389214,0
2008-02-20,10498.14326373022,-10498.14326373022,21986.07586483145,27052.561093433993,5,2008-02-19,1384409.9406614006,0
2008-02-21,-8788.500380330486,8788.500380330486,22104.783111479366,27394.3981419235,5,2008-02-20,1394908.0839251308,0
2008-02-22,2074.019377058139,-2074.019377058139,21924.559456153773,27257.890252527643,5,2008-02-21,1386119.5835448003,0
2008-02-25,5742.494929111097,-5742.494929111097,21879.455690826522,27265.870571890566,5,2008-02-22,1388193.6029218584,0
2008-02-26,6781.249075670261,-6781.249075670261,21825.173819388263,27175.219579575256,5,2008-02-25,1393936.0978509695,0
2008-02-27,13645.466953908792,-13645.466953908792,16125.006318949396,20519.84929474648,5,2008-02-26,1400717.3469266398,0
2008-02-28,-2900.2880932837725,2900.2880932837725,23918.31222426961,28253.532061901362,5,2008-02-27,1414362.8138805486,0
2008-02-29,-14845.399053038564,14845.399053038564,23878.881251242943,28309.45140054538,5,2008-02-28,1411462.5257872648,0
2008-03-03,4314.666595650837,-4314.666595650837,23448.75572678703,27848.790354405995,5,2008-02-29,1396617.1267342262,0
2008-03-04,-4786.767187354155,4786.767187354155,23539.850923713762,28091.092277582688,5,2008-03-03,1400931.793329877,0
2008-03-05,18398.253162475303,-18398.253162475303,23097.655568799702,27601.407083945953,5,2008-03-04,1396145.026142523,0
2008-03-06,-10800.230064023053,10800.230064023053,23534.925793008413,28312.51228194516,5,2008-03-05,1414543.2793049982,0
2008-03-07,-8854.087082906393,8854.087082906393,23014.92182714236,27704.287394073697,5,2008-03-06,1403743.0492409752,0
2008-03-10,-8631.410811681999,8631.410811681999,22821.29574716161,27565.16251402362,5,2008-03-07,1394888.9621580688,0
2008-03-11,13645.663764618337,-13645.663764618337,22703.227283369983,27429.998591588297,5,2008-03-10,1386257.5513463868,0
2008-03-12,1715.1645040397998,-1715.1645040397998,23180.683173827827,27879.515976029263,5,2008-03-11,1399903.2151110051,0
2008-03-13,12252.538911264855,-12252.538911264855,23219.17422748613,28045.12158389306,5,2008-03-12,1401618.379615045,0
2008-03-14,-6745.099282774841,6745.099282774841,23392.829681464704,28377.797755746637,5,2008-03-13,1413870.9185263098,0
2008-03-17,-3396.8605857449584,3396.8605857449584,23317.31516550947,28274.085372055833,5,2008-03-14,1407125.819243535,0
2008-03-18,-61.46546494378708,61.46546494378708,23328.660639566602,28365.991141319602,5,2008-03-17,1403728.95865779,0
2008-03-19,-25899.160270223627,25899.160270223627,23511.91057196306,28363.086523768074,5,2008-03-18,1403667.4931928462,1
2008-03-20,-19411.68407860375,19411.68407860375,24642.839327511843,27631.496284619858,5,2008-03-19,1377768.3329226226,0
2008-03-24,16886.190247086808,-16886.190247086808,24136.593190514715,27271.234819158213,5,2008-03-20,1358356.6488440188,0
2008-03-25,12956.222261908697,-12956.222261908697,24588.22580213356,27760.59791622185,5,2008-03-24,1375242.8390911056,0
2008-03-26,6809.912357569905,-6809.912357569905,25250.043069865787,28463.826477749135,5,2008-03-25,1388199.0613530143,0
2008-03-27,871.8996030942071,-871.8996030942071,25265.441527354764,28404.105305292178,5,2008-03-26,1395008.9737105842,0
2008-03-28,-16584.35082817846,16584.35082817846,25121.18154301308,28241.460645119798,5,2008-03-27,1395880.8733136784,0
2008-03-31,-7831.959505039966,7831.959505039966,24454.72815079079,27700.614299534915,5,2008-03-28,1379296.5224855,0
2008-04-01,-3676.328012746293,3676.328012746293,24274.906736274716,27445.097959030885,5,2008-03-31,1371464.56298046,0
2008-04-02,11025.147728588665,-11025.147728588665,24470.008112445707,27796.29179181708,5,2008-04-01,1367788.2349677137,0
2008-04-03,1407.1117974054068,-1407.1117974054068,25068.011888539186,28414.69161286149,5,2008-04-02,1378813.3826963024,0
2008-04-04,-2222.5286203171127,2222.5286203171127,25258.944320754847,28624.756565268755,5,2008-04-03,1380220.4944937078,0
2008-04-07,6895.0105220542755,-6895.0105220542755,25423.572862350848,28784.667648176102,5,2008-04-04,1377997.9658733907,0
2008-04-08,-6612.612910972675,6612.612910972675,25706.364423513878,28996.390436552232,5,2008-04-07,1384892.976395445,0
2008-04-09,6516.163396165473,-6516.163396165473,25410.507508125156,28606.009634871316,5,2008-04-08,1378280.3634844723,0
2008-04-10,8683.055716081755,-8683.055716081755,15970.455951382173,19361.547501413897,5,2008-04-09,1384796.5268806377,0
2008-04-11,-8876.308174586622,8876.308174586622,25208.479955829913,28339.497550736414,5,2008-04-10,1393479.5825967195,0
2008-04-14,794.3257156445179,-794.3257156445179,24701.9318245803,27661.935109551203,5,2008-04-11,1384603.2744221329,0
2008-04-15,5919.123364538886,-5919.123364538886,24610.401154961437,27535.394535031774,5,2008-04-14,1385397.6001377774,0
2008-04-16,24783.5891394231,-24783.5891394231,24798.908300522482,27767.13110687337,5,2008-04-15,1391316.7235023163,0
2008-04-17,-2641.978778799763,2641.978778799763,25870.825690738857,29090.25742725758,5,2008-04-16,1416100.3126417394,0
