,VaR_MC_COPULA,actual_loss,exception
2007-12-31,25090.434052799817,11199.976273539649,0
2008-01-02,24768.64037862035,-2580.27634467437,0
2008-01-03,23158.815666492756,-3775.234223822064,0
2008-01-04,22476.083226002927,8620.214514355599,0
2008-01-07,22720.838753503762,4680.594752085621,0
2008-01-08,21903.007477504754,-26414.479889681123,0
2008-01-09,23391.971750127625,22605.07966286689,0
2008-01-10,24771.577086666304,-17597.24177564428,0
2008-01-11,23480.210499665973,4715.8227861864725,0
2008-01-14,24253.551286751026,-11623.456178974317,0
2008-01-15,23613.939227642804,20077.877742710683,0
2008-01-16,21140.592520367638,9699.36920283811,0
2008-01-17,22100.849872852647,9406.802644018388,0
2008-01-18,20879.810092624848,-809.969422958724,0
2008-01-22,20825.692789853827,237.98048276518605,0
2008-01-23,20025.195204647727,465.1558630757845,0
2008-01-24,23088.979249337754,-25180.642219630325,0
2008-01-25,20988.915188060855,6480.59197412131,0
2008-01-28,23694.632554627122,-10561.409041226543,0
2008-01-29,24407.74744113722,-2653.853449518271,0
2008-01-30,23929.544668724066,-10837.63937776133,0
2008-01-31,24073.98452531955,6565.026544608865,0
2008-02-01,22925.9825636801,11258.238807725664,0
2008-02-04,23436.66494413258,119.12435812672813,0
2008-02-05,22819.004063075645,19225.70904373535,0
2008-02-06,22747.881369537605,-3599.8714021540045,0
2008-02-07,23784.700846912216,-8906.221392758316,0
2008-02-08,23180.03290054773,-21426.12008357864,0
2008-02-11,23414.777705777433,21157.93200146145,0
2008-02-12,24536.864610970228,4249.798365574965,0
2008-02-13,20591.41199701515,-3046.637258603252,0
2008-02-14,18927.023004600913,-11711.384835567314,0
2008-02-15,19701.995354977098,8799.501614400571,0
2008-02-19,20338.59277742575,-21421.901538880746,0
2008-02-20,20946.875552635403,-10498.143263730046,0
2008-02-21,19805.772291594014,8788.500380330444,0
2008-02-22,20151.41946103347,-2074.0193770582277,0
2008-02-25,18796.853749475995,-5742.494929111207,0
2008-02-26,20863.063957609742,-6781.249075669956,0
2008-02-27,20883.348228317725,-13645.466953908855,0
