,VaR_MC_GARCH_COPULA,actual_loss,exception
2007-12-31,24075.86624188222,11199.976273539649,0
2008-01-02,23966.452365907153,-2580.27634467437,0
2008-01-03,22941.467626578895,-3775.234223822064,0
2008-01-04,21979.18793380777,8620.214514355599,0
2008-01-07,23573.790482304976,4680.594752085621,0
2008-01-08,21815.095906013976,-26414.479889681123,0
2008-01-09,22894.312833949654,22605.07966286689,0
2008-01-10,23034.41370355414,-17597.24177564428,0
2008-01-11,23555.602325559612,4715.8227861864725,0
2008-01-14,23795.023785421163,-11623.456178974317,0
2008-01-15,23214.746466230154,20077.877742710683,0
2008-01-16,25793.967566483236,9699.36920283811,0
2008-01-17,24826.755954201133,9406.802644018388,0
2008-01-18,26097.673945858256,-809.969422958724,0
2008-01-22,24311.622766150333,237.98048276518605,0
2008-01-23,24442.55911306078,465.1558630757845,0
2008-01-24,25214.197327382502,-25180.642219630325,0
2008-01-25,26687.685057569757,6480.59197412131,0
2008-01-28,28573.098501669883,-10561.409041226543,0
2008-01-29,28566.663311656834,-2653.853449518271,0
2008-01-30,28455.163690173118,-10837.63937776133,0
2008-01-31,27905.28512747716,6565.026544608865,0
2008-02-01,27502.68426216578,11258.238807725664,0
2008-02-04,26470.145883506524,119.12435812672813,0
2008-02-05,25676.480735642566,19225.70904373535,0
2008-02-06,28054.588644061947,-3599.8714021540045,0
2008-02-07,28387.17174431769,-8906.221392758316,0
2008-02-08,27396.423439653514,-21426.12008357864,0
2008-02-11,27302.34545222275,21157.93200146145,0
2008-02-12,27866.422593568812,4249.798365574965,0
2008-02-13,22954.340947870212,-3046.637258603252,0
2008-02-14,22177.794752472782,-11711.384835567314,0
2008-02-15,22870.04619909656,8799.501614400571,0
2008-02-19,22456.848587852903,-21421.901538880746,0
2008-02-20,24726.680052786807,-10498.143263730046,0
2008-02-21,24255.425040512353,8788.500380330444,0
2008-02-22,25473.969684209565,-2074.0193770582277,0
2008-02-25,24126.251657014145,-5742.494929111207,0
2008-02-26,25743.164096994093,-6781.249075669956,0
2008-02-27,24018.474648323223,-13645.466953908855,0
2008-02-28,23372.41297375518,2900.2880932835687,0
2008-02-29,22585.00681435569,14845.399053038664,0
2008-03-03,23223.254337888757,-4314.666595650704,0
2008-03-04,22827.700916109938,4786.767187354128,0
2008-03-05,23051.22797391243,-18398.25316247536,0
2008-03-06,23609.577581759513,10800.23006402295,0
2008-03-07,23261.463008512022,8854.087082906184,0
2008-03-10,23180.664753222587,8631.410811682426,0
2008-03-11,22664.336629018853,-13645.663764618355,0
2008-03-12,23880.931156948798,-1715.1645040403,0
2008-03-13,23755.334950137356,-12252.53891126457,0
2008-03-14,22775.0631922486,6745.0992827749415,0
2008-03-17,23145.35313284844,3396.860585744851,0
2008-03-18,23720.125883845172,61.46546494388167,0
2008-03-19,22213.702730397785,25899.16027022367,1
2008-03-20,24199.040539424328,19411.68407860387,0
2008-03-24,25828.81080864626,-11588.209379863722,0
2008-03-25,25623.790687446923,-12956.22226190885,0
2008-03-26,24590.30478972916,-6809.912357569744,0
2008-03-27,23007.082967446873,-871.8996030941898,0
2008-03-28,25960.23799234264,16584.3508281783,0
2008-03-31,26175.014614002885,7831.959505040187,0
2008-04-01,27452.19385850503,3676.328012746319,0
2008-04-02,28004.873164976227,-11025.147728588689,0
2008-04-03,27490.132452755584,-1407.1117974055112,0
2008-04-04,26738.683138081386,2222.528620317151,0
2008-04-07,26423.10814596278,-6895.010522054543,0
2008-04-08,26484.48612825552,6612.612910972932,0
2008-04-09,25556.7700787683,-6516.163396165458,0
2008-04-10,24860.64899014889,-8683.05571608177,0
2008-04-11,22355.193765097025,8876.308174586677,0
2008-04-14,22232.45955320075,-794.3257156446398,0
2008-04-15,22124.117236283088,-5919.123364538939,0
2008-04-16,23502.51822114133,-24783.58913942306,0
2008-04-17,26623.37436497107,2641.9787787997566,0
2008-04-18,27287.55998362103,8240.086116822451,0
2008-04-21,27093.658968993142,-547.939988379384,0
2008-04-22,26316.041810306655,425.8154127738544,0
2008-04-23,25764.147954515203,6246.521128400484,0
2008-04-24,25512.070857238603,6645.398664335624,0
2008-04-25,24556.49318563302,-4882.611023019041,0
2008-04-28,24700.700462738776,1177.1198404048328,0
2008-04-29,25188.3445328187,12341.86281287663,0
2008-04-30,24326.8734342362,2397.197918765872,0
2008-05-01,24095.130932092026,4838.243842310509,0
2008-05-02,23406.311108334627,-5935.706591475115,0
2008-05-05,23243.14284757197,-6888.712648750314,0
2008-05-06,22149.581152212606,-8836.759826559544,0
2008-05-07,22434.432232692398,17841.294656411927,0
2008-05-08,25139.160839081433,-2587.035636976312,0
2008-05-09,19637.12031906581,843.9746648746982,0
2008-05-12,19514.466313761986,-3271.225895253426,0
2008-05-13,18829.523666128818,1984.1274893286543,0
2008-05-14,18401.803477210902,-1085.5803236232714,0
2008-05-15,18724.58240506152,-8361.060201811448,0
2008-05-16,17204.43133980157,-14358.51650304419,0
2008-05-19,19036.09979617542,-353.6906195400288,0
2008-05-20,17800.26227864036,-2604.466466586809,0
2008-05-21,16528.67862525649,-1049.5915983975256,0
2008-05-22,15897.668441864718,-5864.312808181041,0
2008-05-23,15224.929239547037,5095.209842548351,0
2008-05-27,14904.008220569956,3911.3376665063097,0
2008-05-28,14861.377673754056,-4651.258354371927,0
2008-05-29,15425.245166259992,11889.24076298514,0
2008-05-30,15210.257647119288,-4781.238036263971,0
2008-06-02,14628.499101355983,4308.043061395282,0
2008-06-03,14225.4570196089,11845.884932752837,0
2008-06-04,15598.489398257409,-2055.055068692561,0
2008-06-05,15990.230474830249,-11647.305885108482,0
2008-06-06,16262.53187770153,-2485.3907570704087,0
2008-06-09,15403.122348592242,3729.3574665961382,0
2008-06-10,14629.976398323903,11436.45273534536,0
2008-06-11,13675.762770416995,-5409.654008898339,0
2008-06-12,13587.886499546785,1117.368084923983,0
2008-06-13,13239.384889261732,-3161.412378153652,0
2008-06-16,13614.39795514257,-6061.169229874468,0
2008-06-17,13141.342910094505,-385.3197726192384,0
2008-06-18,12133.07107929984,291.54249200275444,0
2008-06-19,12252.707421155133,-2788.234815045924,0
2008-06-20,12480.844183258087,649.4010333459391,0
2008-06-23,13234.317102160447,9112.561012005475,0
2008-06-24,13160.023354630008,2940.0879372895683,0
