,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2007-12-31,26809.148704262476,11199.976273539649,0
2008-01-02,35919.92715037232,-2580.27634467437,0
2008-01-03,31715.292440417837,-3775.234223822064,0
2008-01-04,30904.233711138902,8620.214514355599,0
2008-01-07,36102.143012461995,4680.594752085621,0
2008-01-08,34628.312212472854,-26414.479889681123,0
2008-01-09,36054.28830758373,22605.07966286689,0
2008-01-10,37309.597787933046,-17597.24177564428,0
2008-01-11,37035.56277473182,4715.8227861864725,0
2008-01-14,37648.6363225835,-11623.456178974317,0
2008-01-15,35767.78767395805,20077.877742710683,0
2008-01-16,35867.427086319476,9699.36920283811,0
2008-01-17,35936.56708123792,9406.802644018388,0
2008-01-18,35203.69076536448,-809.969422958724,0
2008-01-22,34407.017945687665,237.98048276518605,0
2008-01-23,35068.86147656584,465.1558630757845,0
2008-01-24,36506.83469589538,-25180.642219630325,0
2008-01-25,35952.026468768076,6480.59197412131,0
2008-01-28,36330.945561189146,-10561.409041226543,0
2008-01-29,37586.468054702375,-2653.853449518271,0
2008-01-30,36798.32429374047,-10837.63937776133,0
2008-01-31,36937.47785667583,6565.026544608865,0
2008-02-01,35579.48942127622,11258.238807725664,0
2008-02-04,34295.72858086974,119.12435812672813,0
2008-02-05,33975.432640179715,19225.70904373535,0
2008-02-06,36642.95467899775,-3599.8714021540045,0
2008-02-07,35752.70856806718,-8906.221392758316,0
2008-02-08,35162.716540443456,-21426.12008357864,0
2008-02-11,39087.44796607963,21157.93200146145,0
2008-02-12,40575.338480253886,4249.798365574965,0
2008-02-13,34128.104511043086,-3046.637258603252,0
2008-02-14,34452.15578399079,-11711.384835567314,0
2008-02-15,33848.0745828168,8799.501614400571,0
2008-02-19,33319.25668393344,-21421.901538880746,0
2008-02-20,33722.54829343036,-10498.143263730046,0
2008-02-21,33754.682828122204,8788.500380330444,0
2008-02-22,33420.80543034138,-2074.0193770582277,0
2008-02-25,32986.602057233504,-5742.494929111207,0
2008-02-26,32923.87000234686,-6781.249075669956,0
2008-02-27,33496.96423444489,-13645.466953908855,0
2008-02-28,33417.742380932024,2900.2880932835687,0
2008-02-29,33123.354720689866,14845.399053038664,0
2008-03-03,32787.49619961768,-4314.666595650704,0
2008-03-04,32361.2575028706,4786.767187354128,0
2008-03-05,33369.75902979271,-18398.25316247536,0
2008-03-06,34819.52415678543,10800.23006402295,0
2008-03-07,35931.71650986263,8854.087082906184,0
2008-03-10,34443.73700529245,8631.410811682426,0
2008-03-11,33897.43692133648,-13645.663764618355,0
2008-03-12,33719.041053129215,-1715.1645040403,0
2008-03-13,26675.101218501895,-12252.53891126457,0
2008-03-14,26400.085295754074,6745.0992827749415,0
2008-03-17,28398.96507863335,3396.860585744851,0
2008-03-18,28600.39629258369,61.46546494388167,0
2008-03-19,22679.562756123585,25899.16027022367,1
2008-03-20,29435.458405970563,19411.68407860387,0
2008-03-24,31207.94984993945,-11588.209379863722,0
2008-03-25,32373.718510271105,-12956.22226190885,0
2008-03-26,32724.870821179364,-6809.912357569744,0
2008-03-27,30672.47548307914,-871.8996030941898,0
2008-03-28,29947.711585125235,16584.3508281783,0
2008-03-31,30536.294750558765,7831.959505040187,0
2008-04-01,29759.820980041357,3676.328012746319,0
2008-04-02,29730.03705059684,-11025.147728588689,0
2008-04-03,30217.106080835267,-1407.1117974055112,0
2008-04-04,30509.000382015474,2222.528620317151,0
2008-04-07,30964.544730340873,-6895.010522054543,0
2008-04-08,30786.521535283788,6612.612910972932,0
2008-04-09,31003.586703956033,-6516.163396165458,0
2008-04-10,32088.02725888768,-8683.05571608177,0
2008-04-11,29870.25003573399,8876.308174586677,0
2008-04-14,30360.563407831596,-794.3257156446398,0
2008-04-15,30307.554693111604,-5919.123364538939,0
2008-04-16,31160.979072415674,-24783.58913942306,0
2008-04-17,34145.44074377343,2641.9787787997566,0
2008-04-18,33881.11166627143,8240.086116822451,0
2008-04-21,34653.50482934493,-547.939988379384,0
2008-04-22,33810.17521987538,425.8154127738544,0
2008-04-23,32721.99309078044,6246.521128400484,0
2008-04-24,32761.52014543827,6645.398664335624,0
2008-04-25,35152.23405044472,-4882.611023019041,0
2008-04-28,33782.34960862361,1177.1198404048328,0
2008-04-29,32940.81382494501,12341.86281287663,0
2008-04-30,33349.78091920898,2397.197918765872,0
2008-05-01,34475.26871279677,4838.243842310509,0
2008-05-02,34257.369502909685,-5935.706591475115,0
2008-05-05,35977.50613186773,-6888.712648750314,0
2008-05-06,33652.596494766214,-8836.759826559544,0
2008-05-07,33827.38061413619,17841.294656411927,0
2008-05-08,35911.108600943815,-2587.035636976312,0
2008-05-09,30558.76162209439,843.9746648746982,0
2008-05-12,30274.81989292365,-3271.225895253426,0
2008-05-13,29638.52231727297,1984.1274893286543,0
2008-05-14,30974.6977717082,-1085.5803236232714,0
2008-05-15,31172.800464550994,-8361.060201811448,0
2008-05-16,32963.00800209364,-14358.51650304419,0
2008-05-19,34876.81997842727,-353.6906195400288,0
2008-05-20,32852.87195205478,-2604.466466586809,0
2008-05-21,32322.9798323554,-1049.5915983975256,0
2008-05-22,32192.67934619398,-5864.312808181041,0
2008-05-23,41761.20656053353,5095.209842548351,0
2008-05-27,32511.583384717378,3911.3376665063097,0
2008-05-28,31735.277679257833,-4651.258354371927,0
2008-05-29,31269.56590452573,11889.24076298514,0
2008-05-30,33021.12253522374,-4781.238036263971,0
2008-06-02,31939.076904552847,4308.043061395282,0
2008-06-03,31623.19371134424,11845.884932752837,0
2008-06-04,32206.517809978537,-2055.055068692561,0
2008-06-05,32668.455963127755,-11647.305885108482,0
2008-06-06,32309.75502819658,-2485.3907570704087,0
2008-06-09,30596.08834995444,3729.3574665961382,0
2008-06-10,30862.079799589446,11436.45273534536,0
2008-06-11,33391.1127499221,-5409.654008898339,0
2008-06-12,31951.359171736218,1117.368084923983,0
2008-06-13,32280.867812918877,-3161.412378153652,0
2008-06-16,31342.188460702582,-6061.169229874468,0
2008-06-17,31573.587294196317,-385.3197726192384,0
2008-06-18,30203.709212472713,291.54249200275444,0
2008-06-19,29935.49436044821,-2788.234815045924,0
2008-06-20,29989.01786446181,649.4010333459391,0
2008-06-23,30953.83090821236,9112.561012005475,0
2008-06-24,30838.9126063746,2940.0879372895683,0
2008-06-25,30446.3177893717,-3705.6925007171785,0
2008-06-26,30008.38825506533,-11878.582512202936,0
2008-06-27,29779.89911220376,1144.6544293381512,0
2008-06-30,29218.3007393446,-111.07917295818127,0
2008-07-01,29138.906267810915,-6953.919149268036,0
2008-07-02,29333.612134276274,-2869.3355658383507,0
2008-07-03,29021.44778060967,8709.811035865656,0
2008-07-07,30469.85515009138,13402.052066699112,0
2008-07-08,28627.628741455792,8513.666397855477,0
2008-07-09,32101.232060617887,-3257.856244820463,0
2008-07-10,31916.82665555509,-10169.622732369497,0
2008-07-11,29158.2989594378,-15998.773241795656,0
