,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2009-01-12,35005.12619125592,26678.978918767087,0
2009-01-13,37624.41420496495,4211.400818654192,0
2009-01-14,35372.72363142923,14813.68988783754,0
2009-01-15,35964.748991161956,-747.9762661602374,0
2009-01-16,33796.03725040827,-21957.130891070905,0
2009-01-20,36509.30906077047,-2407.8496833847403,0
2009-01-21,36156.186863998504,-14832.962367976215,0
2009-01-22,35126.97528607792,-3030.5818856672417,0
2009-01-23,34645.57468839058,-20739.521158174102,0
2009-01-26,36647.272116197004,-10527.70496155349,0
2009-01-27,35011.290623856476,9522.649452860229,0
2009-01-28,35778.552464125845,-6895.80931444936,0
2009-01-29,35526.40482147972,-10370.9859489983,0
2009-01-30,33304.987161129495,-3820.4240018180544,0
2009-02-02,33363.76277705003,19548.79411933986,0
2009-02-03,34365.49466939874,-11782.927826969571,0
2009-02-04,34821.51722565014,-2854.589642057214,0
2009-02-05,34038.3236069784,-5334.961276614158,0
2009-02-06,32117.453746339535,-10576.235236694114,0
2009-02-09,32367.4076477582,4401.078775123648,0
2009-02-10,31757.349106224436,8488.624773604291,0
2009-02-11,31810.697751576357,-902.8393040609208,0
2009-02-12,30348.930841172754,-1232.1309294321218,0
2009-02-13,29262.470287470573,-5027.647204848642,0
2009-02-17,28206.880420618385,10360.681062200374,0
2009-02-18,27930.859618532737,-12760.53241043113,0
2009-02-19,28187.61667179781,-3641.596758093392,0
2009-02-20,27277.000339607235,-9590.029852322292,0
2009-02-23,26862.054537872886,7060.227842460316,0
2009-02-24,26479.689528020255,10546.09593375429,0
2009-02-25,24261.12067558566,2324.892284423282,0
2009-02-26,26101.23673983616,1589.0527362563507,0
2009-02-27,24535.436562824365,2768.3999868382925,0
2009-03-02,24258.72667069731,20926.53429513626,0
2009-03-03,26001.92868816144,4997.628075498292,0
2009-03-04,26279.88316426253,-4055.894259800586,0
2009-03-05,25693.689816523463,3482.447902063217,0
2009-03-06,23552.893110378132,-1580.6098039589897,0
2009-03-09,23354.721895517912,4262.422280665336,0
2009-03-10,22310.708141636875,-1164.669344221791,0
2009-03-11,22202.16278627084,-6158.193773523488,0
2009-03-12,21482.23929720783,-10700.452716462734,0
2009-03-13,24783.07264274987,-2496.670289803741,0
2009-03-16,23264.240464973947,-3204.68718788905,0
2009-03-17,22592.143120885437,-5213.527767579016,0
2009-03-18,23393.334955027003,6127.510201975203,0
2009-03-19,23526.029355397273,-15408.325371534098,0
2009-03-20,22707.53034845678,5413.047348024509,0
2009-03-23,22090.308301660803,-8517.704583412726,0
2009-03-24,24743.748906705845,13700.256487026778,0
2009-03-25,24669.598455244453,-18238.87220848522,0
2009-03-26,26343.553266886614,113.8024023642938,0
2009-03-27,26288.097352772962,14154.532405526532,0
