,VaR_MC_T_COPULA,actual_loss,exception
2009-01-12,31918.164512719468,26678.978918767087,0
2009-01-13,32777.76766605618,4211.400818654192,0
2009-01-14,35355.27270305664,14813.68988783754,0
2009-01-15,32252.245425200712,-747.9762661602374,0
2009-01-16,31398.421298287765,-21957.130891070905,0
2009-01-20,29383.786810944526,-2407.8496833847403,0
2009-01-21,29687.53373983297,-14832.962367976215,0
2009-01-22,32566.404761353966,-3030.5818856672417,0
2009-01-23,33877.263796704654,-20739.521158174102,0
2009-01-26,30211.13985428576,-10527.70496155349,0
2009-01-27,28981.860183908237,9522.649452860229,0
2009-01-28,29422.919842352425,-6895.80931444936,0
2009-01-29,31948.598664056644,-10370.9859489983,0
2009-01-30,30837.683984521194,-3820.4240018180544,0
2009-02-02,29298.01384732671,19548.79411933986,0
2009-02-03,28012.17630008866,-11782.927826969571,0
2009-02-04,29901.775062588124,-2854.589642057214,0
2009-02-05,30959.525800795265,-5334.961276614158,0
2009-02-06,32978.33675986806,-10576.235236694114,0
2009-02-09,30071.658493667004,4401.078775123648,0
2009-02-10,30598.377325415506,8488.624773604291,0
2009-02-11,31772.484370041053,-902.8393040609208,0
2009-02-12,33924.22800828293,-1232.1309294321218,0
2009-02-13,32751.64034785605,-5027.647204848642,0
2009-02-17,31330.392515931624,10360.681062200374,0
2009-02-18,30053.520691884638,-12760.53241043113,0
2009-02-19,29229.795304745498,-3641.596758093392,0
2009-02-20,31944.059653148477,-9590.029852322292,0
2009-02-23,28903.396486478734,7060.227842460316,0
2009-02-24,27662.858516954744,10546.09593375429,0
2009-02-25,28294.994079443404,2324.892284423282,0
2009-02-26,31122.41512407661,1589.0527362563507,0
2009-02-27,32150.80579163433,2768.3999868382925,0
2009-03-02,32736.771078554277,20926.53429513626,0
2009-03-03,33192.278047570115,4997.628075498292,0
2009-03-04,29367.089126045932,-4055.894259800586,0
2009-03-05,31374.700775669666,3482.447902063217,0
2009-03-06,33042.696428797324,-1580.6098039589897,0
2009-03-09,30372.202740747132,4262.422280665336,0
2009-03-10,32062.598775125203,-1164.669344221791,0
