,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2007-12-31,10800.731504116222,9189.69059016441,12443.294158419934,10597.58174312022,-1611.0409139518124,4847.228626313565,4154.709277883765
2008-01-02,10822.300246072371,9211.438681885433,12465.545911397478,10620.03897076004,-1610.8615641869383,4849.244202746105,4156.801949305785
2008-01-03,10815.289010964618,9205.909202552097,12461.251017914246,10617.44167229479,-1609.379808412521,4857.260170262922,4165.454861877532
2008-01-04,10794.029929805065,9195.820857259096,12435.068352374628,10604.056922499192,-1598.2090725459693,4842.730594122498,4155.727119543308
2008-01-07,10834.613399841213,9228.987708108745,12478.691444659704,10639.183057324328,-1605.625691732468,4851.700567925064,4161.508997846805
2008-01-08,10827.323916542598,9223.299035109962,12470.75777976902,10633.083383997327,-1604.024881432637,4849.799577758604,4160.296129314127
2008-01-09,10926.244225559047,9338.55985092635,12587.91168576411,10768.958028871082,-1587.6843746326977,4903.607213652407,4221.127868087074
2008-01-10,11035.740746195901,9486.376848747985,12710.166332517118,10935.115086722184,-1549.3638974479163,4941.256647581952,4275.249678144191
2008-01-11,11038.94111049265,9488.081681333926,12714.021682551927,10937.257059137464,-1550.8594291587233,4943.189520955782,4276.539684762153
2008-01-14,11034.069238802535,9487.735815660904,12708.924668773481,10937.345329869875,-1546.3334231416302,4942.525123057359,4277.8208282282
2008-01-15,11002.191767886616,9450.637264543708,12676.046665421809,10898.485720175795,-1551.554503342908,4939.572535859892,4272.623916241849
2008-01-16,11061.513919935724,9489.0814210094,12739.24983624547,10937.769712211899,-1572.4324989263241,4951.025484247578,4275.1022844232
2008-01-17,11093.950076833165,9496.434778728506,12775.344745814447,10945.128148701267,-1597.5152981046595,4961.822521815429,4275.117271955359
2008-01-18,11116.225141064453,9538.073170471784,12797.25931264076,10989.226592846204,-1578.1519705926694,4960.758688215822,4282.376925882299
2008-01-22,11114.732883469007,9543.64576212851,12795.683500214633,10995.744727547077,-1571.087121340497,4960.512116576023,4285.1672385068905
2008-01-23,11118.364314003868,9545.805642588994,12801.647464187192,11000.022788810098,-1572.558671414874,4967.395460003702,4291.418023884763
2008-01-24,11113.184879503373,9554.361225080404,12797.066353849345,11011.177400120758,-1558.8236544229694,4969.161124163537,4299.087799439617
2008-01-25,11122.458885805996,9555.149916317456,12810.461816672823,11014.85153853303,-1567.3089694885402,4981.323608180603,4307.6028001373315
2008-01-28,11133.486241861314,9568.372755730035,12821.29638005709,11028.201389303851,-1565.1134861312785,4980.754673929235,4307.977612684008
