parameter,mean,std,min,max,max_abs_step_change
VaR_EVT,28851.492615953724,10931.888241840528,12711.655812003213,49005.65968228164,3729.5603560642776
VaR_EVT_raw,28851.492615953724,10931.888241840528,12711.655812003213,49005.65968228164,3729.5603560642776
VaR_EVT_mle_raw,28851.212219659006,10931.733310130568,12711.655812003213,49005.65968228164,3729.5603560642776
xi,-0.015174410256082871,0.20158341281585054,-0.5,0.5835345291261962,0.3953012693865197
xi_raw,-0.0151905191056814,0.20162353461255397,-0.534384339468055,0.5835345291261962,0.4296856088545747
sigma_gpd,7753.622165778939,3550.5440724340024,2381.6721062149645,16959.015331368202,3565.875964129422
threshold_u,11188.34748913363,3573.5212553053107,4968.374735206686,17389.873578550778,912.062827877382
N_u,50.0,0.0,50.0,50.0,0.0
f_u_hat,0.9000000000000001,1.1103530806233332e-16,0.9,0.9,0.0
_meta_n_clean_windows,4269.0,,,,
_meta_n_total_windows,4269.0,,,,
_meta_n_fallbacks,0.0,,,,
_meta_n_xi_clamped,2.0,,,,
_meta_n_poor_ks,0.0,,,,
