threshold_q,window,backtest_start_date,backtest_end_date,n_backtest_obs,mean_VaR,max_VaR,mean_ES,max_ES,exceptions,exception_rate,expected_exceptions,kupiec_p,christoffersen_p,mean_xi,avg_exceedances,n_xi_clamped,n_ES_fallback,n_ES_xi_ge_1,fallback_days,n_few_exceedances,n_gpd_fit_failed,n_q_below_threshold,n_poor_ks,note
0.85,250,2009-01-12,2024-12-30,4019,28261.61,60029.78,37532.52,95532.37,64,0.015924359293356557,40.2,0.000510566299776638,0.0006366069453865864,-0.023231947786525712,38.0,78,0,0,0,0,0,0,0,
0.9,250,2009-01-12,2024-12-30,4019,28430.8,61978.91,36464.28,123181.71,64,0.015924359293356557,40.2,0.000510566299776638,0.0006366069453865864,-0.07848827946664289,25.0,370,0,0,0,0,0,0,0,
0.925,250,2009-01-12,2024-12-30,4019,28569.08,63220.04,37087.26,91056.23,62,0.015426723065439164,40.2,0.0013625720991573553,0.0013837744701229449,-0.062440992917332204,19.0,547,0,0,0,0,0,0,0,
0.95,250,2009-01-12,2024-12-30,4019,28889.09,59348.1,37728.63,417844.87,58,0.01443145060960438,40.2,0.008098700165345196,0.005219943666209148,-0.08775410415194852,13.0,661,11,11,0,0,0,0,0,
0.85,500,2009-01-12,2024-12-30,4019,29047.3,47973.21,38318.03,75601.3,55,0.01368499626772829,40.2,0.02618377295014762,0.011478453691957213,0.023320888990040995,75.0,0,0,0,0,0,0,0,0,
0.9,500,2009-01-12,2024-12-30,4019,29233.11,49005.66,38213.59,84336.14,51,0.012689723811893506,40.2,0.09993668875469552,0.02439199595822983,-0.012294213897305747,50.0,2,0,0,0,0,0,0,0,
0.925,500,2009-01-12,2024-12-30,4019,29412.1,49947.53,38180.35,74841.87,53,0.013187360039810898,40.2,0.052848612671756556,0.01748212244425229,-0.0410288972700137,38.0,17,0,0,0,0,0,0,0,
0.95,500,2009-01-12,2024-12-30,4019,29587.82,50153.56,39000.24,616811.16,50,0.01244090569793481,40.2,0.13407405650317727,0.12016676233369805,-0.07311396260045927,25.0,189,6,6,0,0,0,0,0,
0.85,750,2009-01-12,2024-12-30,4019,28887.08,48041.12,39198.32,66769.6,48,0.011943269470017417,40.2,0.22960779906032946,0.004892525076377607,0.08388162440498213,113.0,0,0,0,0,0,0,0,0,
0.9,750,2009-01-12,2024-12-30,4019,29021.27,49333.11,39107.35,82499.33,48,0.011943269470017417,40.2,0.22960779906032946,0.004892525076377607,0.05186893159056245,75.0,0,0,0,0,0,0,0,0,
0.925,750,2009-01-12,2024-12-30,4019,29138.46,49490.46,39159.46,94252.25,49,0.012192087583976113,40.2,0.17691781635533177,0.0005279404109729269,0.027041396140051303,57.0,0,0,0,0,0,0,0,0,
0.95,750,2009-01-12,2024-12-30,4019,29399.59,47889.53,38657.88,69987.98,48,0.011943269470017417,40.2,0.22960779906032946,0.0005250144689348257,-0.011476151443835418,38.0,0,0,0,0,0,0,0,0,
