refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
0,2007-12-31,500,0.0006789628631156081,1.104226503781767e-06,0.07720628276777891,0.8986340340754816,0.9758403168432606,0.0006789628631156081,1.104226503781767e-06,0.07720628276777891,0.8986340340754816,0.9758403168432606,6.851103866088839,-441.995599928115,0,0,0
1,2008-03-13,550,0.00064703704239286,6.219221687794436e-07,0.07408641989799289,0.9173700353333353,0.9914564552313282,0.00064703704239286,6.219221687794436e-07,0.07408641989799289,0.9173700353333353,0.9914564552313282,7.493356443403673,-525.2147856683348,0,0,0
2,2008-05-23,600,0.0006538937881835675,6.289483018903105e-07,0.06887905290097363,0.9211846962931906,0.9900637491941642,0.0006538937881835675,6.289483018903105e-07,0.06887905290097363,0.9211846962931906,0.9900637491941642,7.267243103254226,-590.8921093283617,0,0,0
3,2008-08-05,650,0.0005638505162966382,5.633922516285391e-07,0.06376189851134303,0.9272100567611028,0.9909719552724459,0.0005638505162966382,5.633922516285391e-07,0.06376189851134303,0.9272100567611028,0.9909719552724459,8.081635768674628,-645.8709746344105,0,0,0
4,2008-10-29,700,0.0005638505162966382,5.633922516285391e-07,0.06376189851134303,0.9272100567611028,0.9909719552724459,0.0005346844309737229,4.792854023069043e-07,0.08153004311822666,0.9184699568817704,0.999999999999997,7.427414716510111,-755.0273917840601,0,0,1
5,2009-01-12,750,0.0005638505162966382,5.633922516285391e-07,0.06376189851134303,0.9272100567611028,0.9909719552724459,0.0005259037708328803,5.214012330729699e-07,0.08225661845157221,0.917408601587996,0.9996652200395681,6.905782757935734,-858.9442974054866,0,0,1
6,2009-03-25,800,0.0005309948168692092,6.37147434082434e-07,0.08364378672920751,0.912409190881064,0.9960529776102715,0.0005309948168692092,6.37147434082434e-07,0.08364378672920751,0.912409190881064,0.9960529776102715,7.068858661091754,-929.7535710683844,0,0,0
7,2009-06-05,850,0.0005841654938626162,5.587114715935043e-07,0.08285144892623321,0.9154802484907735,0.9983316974170067,0.0005841654938626162,5.587114715935043e-07,0.08285144892623321,0.9154802484907735,0.9983316974170067,7.596363907561961,-1004.6734003900117,0,0,0
8,2009-08-17,900,0.0005631665541520598,5.240099653921027e-07,0.07782033323062734,0.9199560522404522,0.9977763854710795,0.0005631665541520598,5.240099653921027e-07,0.07782033323062734,0.9199560522404522,0.9977763854710795,8.025524765836108,-1074.301208901713,0,0,0
9,2009-10-27,950,0.0005917908101531617,5.166044058303837e-07,0.07526864454823864,0.9218230054609577,0.9970916500091964,0.0005917908101531617,5.166044058303837e-07,0.07526864454823864,0.9218230054609577,0.9970916500091964,8.50118368773614,-1137.8839919577445,0,0,0
