parameter,mean,std,min,max,max_abs_step_change
mu,0.0005397771003974795,7.815661620649286e-05,0.0003853789134464724,0.0006908399078520942,9.004327188692925e-05
omega,4.99351154379034e-07,1.2381770662653883e-07,2.948185363275741e-07,1.104226503781767e-06,4.823043350023234e-07
alpha1,0.05812438776468913,0.008158096171084992,0.04689102410619495,0.08364378672920751,0.019881888217864477
beta,0.9378812642991915,0.009100828625850956,0.8986340340754816,0.9493429276042419,0.018736001257853685
alpha_plus_beta,0.9960056520638807,0.003005771281680943,0.9758403168432606,0.9989131668189327,0.015616138388067635
raw_mu,0.000539516879974269,7.795152001317309e-05,0.0003853789134464724,0.0006908399078520942,9.004327188692925e-05
raw_omega,4.95737028376674e-07,1.2536287620665045e-07,2.948185363275741e-07,1.104226503781767e-06,4.823043350023234e-07
raw_alpha1,0.058486840464661086,0.00889365724591218,0.04689102410619495,0.08364378672920751,0.017768144606883626
raw_beta,0.9377631595722284,0.009504140663325396,0.8986340340754816,0.9493429276042419,0.018736001257853685
raw_alpha_plus_beta,0.9962500000368898,0.002993999576684358,0.9758403168432606,0.999999999999997,0.015616138388067635
nu,6.782236200940366,0.7803557821972104,5.95914462767949,8.671666070751835,1.152023920955651
_meta_n_refits,86.0,,,,
_meta_near_integrated_count,8.0,,,,
_meta_stationarity_fallback_count,8.0,,,,
_meta_optimizer_warning_total,0.0,,,,
