forecast_date,snapshot_date,current_portfolio_value,VaR_HistSim,ES_HistSim,realised_loss,realised_pnl,exception,linear_realised_loss,irs_realised_loss,straddle_realised_loss,largest_driver
2020-06-11,2020-06-10,2218653.8377889134,69488.524504486,107779.78563335052,85514.15437349072,-85514.15437349072,1,51431.850994681474,9734.7837462381,24347.519632570795,linear
2020-03-25,2020-03-24,2068346.7623791832,130460.43071520538,142678.88176295994,80983.90192594565,-80983.90192594565,0,-802.5099437022582,-4256.858815473068,86043.27068512097,straddle
2013-04-15,2013-04-12,1620136.1545164236,30110.251322548836,35795.72650780622,69834.81815373129,-69834.81815373129,1,67328.60981607763,2914.5795349127584,-408.3711972594483,linear
2024-12-18,2024-12-17,3673202.427836064,53975.11086012795,58899.96358055696,67216.51223891415,-67216.51223891415,1,76682.58195966203,-7366.0262112594355,-2100.0435094886416,linear
2023-12-04,2023-12-01,3013557.958912741,90603.56781615922,96304.37916822585,65239.23494232539,-65239.23494232539,0,28118.66014021635,-4509.294535338064,41629.86933744765,straddle
2022-12-15,2022-12-14,2635582.808129361,70187.01089562941,75013.61035121055,60110.86684152717,-60110.86684152717,0,37763.25866875984,4067.9352719962626,18279.672900771013,linear
2020-09-03,2020-09-02,2418093.182190984,85368.21143803792,114458.2592717314,60099.36661549704,-60099.36661549704,0,40414.37906429218,3265.405841664324,16419.58170954079,linear
2022-09-23,2022-09-22,2535897.901584489,66323.16958558,69757.93159392876,56054.6397065022,-56054.6397065022,0,29045.518644697964,794.8363851234899,26214.284676680945,linear
2008-12-01,2008-11-28,1159827.3722869265,33321.978135940386,35120.71076998613,51961.95995214791,-51961.95995214791,1,36282.71676174179,18236.995855495952,-2557.752665089891,linear
2020-08-11,2020-08-10,2367057.7357237665,49141.86266612774,70108.36184518291,51676.47947778227,-51676.47947778227,1,58158.80815353291,-5459.512325173477,-1022.816350577079,linear
2008-12-09,2008-12-08,1177804.684355537,34076.65033077984,39675.93535891971,50889.52139644604,-50889.52139644604,1,41159.47374449787,8777.962385125367,952.0852668227271,linear
2024-10-31,2024-10-30,3667068.675369341,47622.25924513675,51231.38536574971,49554.264105123,-49554.264105123,1,50231.34154229285,748.9075456748978,-1425.984982844173,linear
2022-11-02,2022-11-01,2523000.019064065,60802.42817518627,64125.65675251512,45773.38448238,-45773.38448238,0,32324.54934661789,-2292.408571016742,15741.243706779176,linear
2020-03-12,2020-03-11,2097716.4468143354,16664.73828379973,25246.774750866043,44650.7424377366,-44650.7424377366,1,98533.35919379885,-6391.982775071694,-47490.63398099037,linear
2020-04-21,2020-04-20,2092144.3745241608,55236.43556285533,88075.26202933044,44015.58080242574,-44015.58080242574,0,26214.72282056231,5465.247307321348,12335.610674542288,linear
