historical_shock_date,times_in_tail,times_as_worst_scenario,mean_tail_rank,max_scenario_loss,mean_scenario_loss,mean_realised_loss_when_used
2008-12-01,500,500,1.0,81949.73017015886,59270.69690014976,-825.0020939372312
2013-04-15,500,500,1.0,73109.81186943146,60213.710349718946,-115.44396233958896
2015-12-17,500,476,1.09,34331.10603599895,25922.521716808173,-614.1246914639635
2020-03-12,500,429,1.142,195377.62857064547,98690.61651949032,-1286.4603382772425
2011-09-22,500,298,1.48,53162.24403585934,42336.2059074417,-123.07726744659317
2020-03-16,500,73,1.854,191209.28495678754,96937.26188299934,-1405.2874902383517
2013-06-20,500,47,2.02,48526.28323189826,36419.5754280375,-104.73161979710467
2008-10-22,500,27,2.302,68482.98728648429,48327.4027372387,-669.1457995711288
2008-10-10,500,8,3.482,57760.395596599585,44000.50927786896,-402.17095891927704
2008-12-09,500,6,2.92,55141.20708660314,46615.014780751175,-843.3272818863265
2020-03-09,500,0,3.05,165767.53899400056,74624.38292920929,-1220.5054992431967
2013-04-12,497,0,3.160965794768612,38501.52290692355,31611.26064834824,77.14631997610066
2022-09-13,493,436,1.2596348884381339,123822.45842161085,60326.97231473488,-1822.936486816787
2022-05-09,493,39,2.640973630831643,95209.66626521244,50867.25275072679,-1268.011923765332
2011-12-14,476,0,3.4453781512605044,41887.38782847891,34190.627433475005,-136.95235005836523
2022-06-13,470,27,2.4553191489361703,110651.87228866373,55124.11838490805,-1540.6165315226128
2015-09-28,464,45,2.163793103448276,35069.61103035448,22618.378484547175,-715.1972346040441
2022-08-26,449,0,4.184855233853007,101809.96288597095,53017.41633774008,-1987.2154530007388
2020-03-18,441,2,4.195011337868481,133448.7299816895,64109.27226688361,-1245.5660870811719
2012-02-29,434,4,2.889400921658986,44139.26945505105,34948.120712331875,91.12995539366628
2018-02-08,411,289,1.6301703163017032,51338.699996486364,25332.95696792851,-406.4600517882133
2016-03-23,399,0,3.3032581453634084,27535.795193485777,20576.514714402925,-839.4812183668048
2020-06-11,379,23,4.258575197889182,134443.0158061265,63092.56014732566,-552.7914710882989
2022-12-15,370,64,3.516216216216216,89786.69248618005,48078.29502917881,-1832.4213994390627
2016-06-27,370,60,3.137837837837838,31364.818600951305,21888.89105095424,-601.3088659023225
