"window","alpha","n","violations","viol_rate","nominal_rate","UC_stat","UC_p","UC_pass","CC_stat","CC_p","CC_pass","Ind_p","TickLoss"
250,"95%",33,4,0.1212,0.05,2.565,0.1093,TRUE,3.712,0.1563,TRUE,0.2842,1705.954751
250,"99%",33,1,0.0303,0.01,0.891,0.3452,TRUE,0.956,0.6201,TRUE,0.7995,1101.635709
375,"95%",34,3,0.0882,0.05,0.861,0.3535,TRUE,2.452,0.2935,TRUE,0.2072,1278.451402
375,"99%",34,2,0.0588,0.01,3.851,0.0497,FALSE,7.333,0.0256,FALSE,0.062,603.540136
500,"95%",34,3,0.0882,0.05,0.861,0.3535,TRUE,2.452,0.2935,TRUE,0.2072,1859.143953
500,"99%",34,2,0.0588,0.01,3.851,0.0497,FALSE,4.109,0.1281,TRUE,0.6113,1311.580753
750,"95%",32,5,0.1562,0.05,4.99,0.0255,FALSE,5.053,0.08,TRUE,0.8018,1494.736159
750,"99%",32,2,0.0625,0.01,4.061,0.0439,FALSE,4.337,0.1143,TRUE,0.5993,582.387492
1000,"95%",34,6,0.1765,0.05,7.133,0.0076,FALSE,7.146,0.0281,FALSE,0.9098,2138.151494
1000,"99%",34,2,0.0588,0.01,3.851,0.0497,FALSE,3.978,0.1368,TRUE,0.7215,1330.156008
