"Model","Distribution","logLik","AIC","BIC","GoF_p_min","GoF_p_mean","GoF_pass","Converged"
"apARCH","sstd",7341.8,-3.0748,-3.0612,0,0.0063,FALSE,TRUE
"apARCH","std",7340.37,-3.0746,-3.0624,0,0.0021,FALSE,TRUE
"sGARCH","std",7337.81,-3.0744,-3.0649,0,0.0015,FALSE,TRUE
"sGARCH","sstd",7338.93,-3.0744,-3.0636,0,0.0076,FALSE,TRUE
"apARCH","jsu",7340.4,-3.0742,-3.0606,0,0.0051,FALSE,TRUE
"gjrGARCH","sstd",7339.15,-3.0741,-3.0619,0,0.0028,FALSE,TRUE
"gjrGARCH","std",7337.99,-3.074,-3.0632,0,0.0072,FALSE,TRUE
"sGARCH","jsu",7337.59,-3.0738,-3.063,0,0.0057,FALSE,TRUE
"eGARCH","sstd",7338.4,-3.0738,-3.0616,0,0.024,FALSE,TRUE
"apARCH","nig",7338.99,-3.0736,-3.06,0,0.0055,FALSE,TRUE
"gjrGARCH","jsu",7337.8,-3.0735,-3.0613,0,0.0119,FALSE,TRUE
"eGARCH","std",7336.75,-3.0735,-3.0626,0,0.001,FALSE,TRUE
"sGARCH","nig",7336.19,-3.0733,-3.0624,0,0.0064,FALSE,TRUE
"eGARCH","jsu",7336.94,-3.0732,-3.0609,0,0.0112,FALSE,TRUE
"gjrGARCH","nig",7336.38,-3.0729,-3.0607,0,0.01,FALSE,TRUE
"eGARCH","nig",7335.45,-3.0725,-3.0603,0,0.0075,FALSE,TRUE
"apARCH","ged",7326.01,-3.0686,-3.0564,0,0,FALSE,TRUE
"apARCH","sged",7327.16,-3.0686,-3.0551,0,1e-04,FALSE,TRUE
"sGARCH","ged",7323.57,-3.0684,-3.0589,0,0,FALSE,TRUE
"sGARCH","sged",7324.45,-3.0683,-3.0575,0,0,FALSE,TRUE
"gjrGARCH","ged",7323.69,-3.068,-3.0572,0,1e-04,FALSE,TRUE
"gjrGARCH","sged",7324.58,-3.068,-3.0558,0,1e-04,FALSE,TRUE
"eGARCH","sged",7323.25,-3.0674,-3.0552,0,2e-04,FALSE,TRUE
"eGARCH","ged",7321.88,-3.0673,-3.0564,0,1e-04,FALSE,TRUE
"apARCH","norm",7301.2,-3.0586,-3.0477,0,0,FALSE,TRUE
"sGARCH","norm",7298.53,-3.0583,-3.0502,0,0,FALSE,TRUE
"gjrGARCH","norm",7298.6,-3.0579,-3.0484,0,0,FALSE,TRUE
"eGARCH","norm",7295.95,-3.0568,-3.0473,0,0,FALSE,TRUE
