"Model","Distribution","logLik","AIC","BIC","GoF_p_mean","GoF_pass","Converged"
"apARCH","std",18226.08,-7.639,-7.624,0.1321,TRUE,TRUE
"apARCH","sstd",18226.91,-7.6389,-7.6226,0.1646,TRUE,TRUE
"eGARCH","sstd",18224.28,-7.6382,-7.6233,0.0143,FALSE,TRUE
"eGARCH","std",18222.86,-7.638,-7.6245,0.013,FALSE,TRUE
"apARCH","jsu",18219.18,-7.6356,-7.6194,0.1407,TRUE,TRUE
"eGARCH","jsu",18217.19,-7.6352,-7.6203,0.0032,FALSE,TRUE
"sGARCH","sstd",18207.28,-7.6315,-7.6179,0.0441,FALSE,TRUE
"sGARCH","std",18205.25,-7.6311,-7.6188,0.2295,TRUE,TRUE
"gjrGARCH","std",18206.45,-7.6311,-7.6176,0.3197,TRUE,TRUE
"gjrGARCH","sstd",18207.17,-7.631,-7.6161,0.4235,TRUE,TRUE
"apARCH","nig",18205.94,-7.6301,-7.6138,0.0371,FALSE,TRUE
"eGARCH","nig",18204.79,-7.63,-7.6151,0.0059,FALSE,TRUE
"sGARCH","jsu",18202.03,-7.6293,-7.6157,0.0464,FALSE,TRUE
"gjrGARCH","jsu",18202.01,-7.6289,-7.6139,0.2046,TRUE,TRUE
"gjrGARCH","nig",18194,-7.6255,-7.6106,0.0304,FALSE,TRUE
"sGARCH","nig",18191.7,-7.625,-7.6114,0.081,TRUE,TRUE
"apARCH","ged",18168.98,-7.615,-7.6001,1e-04,FALSE,TRUE
"apARCH","sged",18169.02,-7.6146,-7.5983,0,FALSE,TRUE
"gjrGARCH","ged",18163.23,-7.613,-7.5994,5e-04,FALSE,TRUE
"sGARCH","ged",18162.03,-7.6129,-7.6007,8e-04,FALSE,TRUE
"gjrGARCH","sged",18163.26,-7.6126,-7.5977,2e-04,FALSE,TRUE
"sGARCH","sged",18162.04,-7.6125,-7.5989,7e-04,FALSE,TRUE
"eGARCH","ged",18161.25,-7.6122,-7.5986,0,FALSE,TRUE
"eGARCH","sged",18161.44,-7.6118,-7.5969,0,FALSE,TRUE
"apARCH","norm",18001.03,-7.545,-7.5314,0,FALSE,TRUE
"gjrGARCH","norm",17999.8,-7.5449,-7.5327,0,FALSE,TRUE
"sGARCH","norm",17998.46,-7.5448,-7.5339,0,FALSE,TRUE
"eGARCH","norm",17947.97,-7.5232,-7.5109,1e-04,FALSE,TRUE
