"Model","Distribution","logLik","AIC","BIC","GoF_p_min","GoF_p_mean","GoF_pass","Converged"
"gjrGARCH","nig",15305.7,-6.4159,-6.4064,0.0192,0.404,FALSE,TRUE
"gjrGARCH","jsu",15305.82,-6.4159,-6.4064,0.0673,0.3881,TRUE,TRUE
"gjrGARCH","sstd",15303.59,-6.415,-6.4055,0.0797,0.3681,TRUE,TRUE
"apARCH","jsu",15303.13,-6.4144,-6.4035,0.3223,0.6349,TRUE,TRUE
"apARCH","nig",15302.38,-6.4141,-6.4032,0.4968,0.751,TRUE,TRUE
"sGARCH","nig",15299.83,-6.4139,-6.4057,0.6774,0.7701,TRUE,TRUE
"eGARCH","jsu",15300.6,-6.4138,-6.4043,0.1618,0.5406,TRUE,TRUE
"sGARCH","jsu",15299.47,-6.4137,-6.4056,0.6576,0.7332,TRUE,TRUE
"eGARCH","nig",15300.14,-6.4136,-6.4041,0.176,0.5591,TRUE,TRUE
"apARCH","sstd",15300.79,-6.4134,-6.4026,0.1387,0.3699,TRUE,TRUE
"gjrGARCH","std",15298.62,-6.4133,-6.4052,0.0399,0.2764,FALSE,TRUE
"eGARCH","sstd",15298.51,-6.4129,-6.4034,0.0666,0.4211,TRUE,TRUE
"sGARCH","sstd",15296.88,-6.4126,-6.4045,0.2543,0.4932,TRUE,TRUE
"apARCH","std",15295.22,-6.4115,-6.402,0.0538,0.202,TRUE,TRUE
"eGARCH","std",15293.5,-6.4112,-6.4031,0.0657,0.2031,TRUE,TRUE
"sGARCH","std",15291.53,-6.4108,-6.404,0.2196,0.4472,TRUE,TRUE
"gjrGARCH","sged",15292.06,-6.4102,-6.4007,0.0083,0.1613,FALSE,TRUE
"apARCH","sged",15289.89,-6.4088,-6.398,0.0946,0.2873,TRUE,TRUE
"sGARCH","sged",15287.4,-6.4086,-6.4005,0.0217,0.1733,FALSE,TRUE
"gjrGARCH","ged",15286.59,-6.4083,-6.4002,0.006,0.0799,FALSE,TRUE
"eGARCH","sged",15285.72,-6.4075,-6.398,0.0139,0.0791,FALSE,TRUE
"apARCH","ged",15284.7,-6.4071,-6.3976,0.03,0.1634,FALSE,TRUE
"sGARCH","ged",15281.48,-6.4066,-6.3998,0.0143,0.0937,FALSE,TRUE
"eGARCH","ged",15280.07,-6.4056,-6.3974,5e-04,0.0201,FALSE,TRUE
"gjrGARCH","norm",15133.06,-6.3443,-6.3375,0,0,FALSE,TRUE
"sGARCH","norm",15129.42,-6.3432,-6.3378,0,0,FALSE,TRUE
"apARCH","norm",15130.68,-6.3429,-6.3348,0,0,FALSE,TRUE
"eGARCH","norm",15120.87,-6.3392,-6.3324,0,0,FALSE,TRUE
