"Model","Distribution","logLik","AIC","BIC","GoF_p_mean","GoF_pass","Converged"
"eGARCH","jsu",-8810.82,3.7001,3.7164,0.0031,FALSE,TRUE
"apARCH","nig",-8827.88,3.7076,3.7253,0.0076,FALSE,TRUE
"apARCH","jsu",-8833.29,3.7099,3.7275,0.0621,TRUE,TRUE
"eGARCH","sstd",-8835.02,3.7102,3.7265,3e-04,FALSE,TRUE
"apARCH","sstd",-8840.57,3.713,3.7306,0.0145,FALSE,TRUE
"eGARCH","sged",-8842.31,3.7133,3.7296,0.0032,FALSE,TRUE
"eGARCH","nig",-8847.33,3.7154,3.7317,0.0348,FALSE,TRUE
"apARCH","sged",-8853.51,3.7184,3.736,6e-04,FALSE,TRUE
"gjrGARCH","jsu",-8859.71,3.7206,3.7369,0.0359,FALSE,TRUE
"gjrGARCH","nig",-8859.91,3.7207,3.7369,0.0858,TRUE,TRUE
"gjrGARCH","sstd",-8867.29,3.7238,3.74,0.0027,FALSE,TRUE
"apARCH","std",-8872.58,3.726,3.7423,0,FALSE,TRUE
"gjrGARCH","sged",-8876.64,3.7277,3.744,0.0102,FALSE,TRUE
"eGARCH","std",-8884.16,3.7304,3.7453,0,FALSE,TRUE
"apARCH","ged",-8885.32,3.7313,3.7476,0,FALSE,TRUE
"sGARCH","nig",-8895.54,3.7352,3.7501,0.005,FALSE,TRUE
"eGARCH","ged",-8895.97,3.7354,3.7503,0,FALSE,TRUE
"sGARCH","jsu",-8896.29,3.7355,3.7504,0.0016,FALSE,TRUE
"gjrGARCH","std",-8896.99,3.7358,3.7507,0,FALSE,TRUE
"sGARCH","sstd",-8906.57,3.7398,3.7547,0,FALSE,TRUE
"gjrGARCH","ged",-8907.58,3.7402,3.7552,0,FALSE,TRUE
"sGARCH","sged",-8909.49,3.741,3.756,0.001,FALSE,TRUE
"sGARCH","std",-8935.8,3.7516,3.7652,0,FALSE,TRUE
"sGARCH","ged",-8938.88,3.7529,3.7665,0,FALSE,TRUE
"apARCH","norm",-9044.48,3.7976,3.8126,0,FALSE,TRUE
"eGARCH","norm",-9066.79,3.8066,3.8201,0,FALSE,TRUE
"gjrGARCH","norm",-9074.55,3.8098,3.8234,0,FALSE,TRUE
"sGARCH","norm",-9108.02,3.8235,3.8357,0,FALSE,TRUE
