"Model","Distribution","logLik","AIC","BIC","GoF_p_min","GoF_p_mean","GoF_pass","Converged"
"apARCH","jsu",15895.45,-6.6611,-6.6448,0,2e-04,FALSE,TRUE
"apARCH","nig",15894.78,-6.6608,-6.6446,0,1e-04,FALSE,TRUE
"apARCH","sstd",15887.57,-6.6578,-6.6415,0,0,FALSE,TRUE
"apARCH","sged",15877.19,-6.6535,-6.6372,0,0,FALSE,TRUE
"eGARCH","jsu",15870.86,-6.6512,-6.6363,0,3e-04,FALSE,TRUE
"eGARCH","nig",15870.32,-6.651,-6.6361,0,4e-04,FALSE,TRUE
"eGARCH","sstd",15863.03,-6.6479,-6.633,0,0,FALSE,TRUE
"eGARCH","sged",15853.66,-6.644,-6.6291,0,0,FALSE,TRUE
"gjrGARCH","jsu",15852.43,-6.6435,-6.6286,0.0024,0.0398,FALSE,TRUE
"gjrGARCH","nig",15852.3,-6.6434,-6.6285,0.0019,0.0246,FALSE,TRUE
"gjrGARCH","sstd",15844.73,-6.6403,-6.6254,0,0.0012,FALSE,TRUE
"apARCH","std",15843.88,-6.6399,-6.625,0,0,FALSE,TRUE
"gjrGARCH","sged",15836.29,-6.6367,-6.6218,0,2e-04,FALSE,TRUE
"apARCH","ged",15831.78,-6.6348,-6.6199,0,0,FALSE,TRUE
"eGARCH","std",15823.17,-6.6317,-6.6181,0,0,FALSE,TRUE
"eGARCH","ged",15813.64,-6.6277,-6.6141,0,0,FALSE,TRUE
"gjrGARCH","std",15810.58,-6.6264,-6.6128,0,0,FALSE,TRUE
"gjrGARCH","ged",15800.81,-6.6223,-6.6087,0,0,FALSE,TRUE
"sGARCH","nig",15765.14,-6.6073,-6.5937,0,8e-04,FALSE,TRUE
"sGARCH","jsu",15763.73,-6.6067,-6.5932,0,1e-04,FALSE,TRUE
"sGARCH","sged",15755.15,-6.6031,-6.5896,0,1e-04,FALSE,TRUE
"sGARCH","sstd",15754.18,-6.6027,-6.5892,0,0,FALSE,TRUE
"sGARCH","std",15738.55,-6.5966,-6.5844,0,0,FALSE,TRUE
"sGARCH","ged",15729.19,-6.5927,-6.5804,0,0,FALSE,TRUE
"apARCH","norm",15708.43,-6.5835,-6.57,0,0,FALSE,TRUE
"eGARCH","norm",15679.13,-6.5717,-6.5595,0,0,FALSE,TRUE
"gjrGARCH","norm",15659.12,-6.5633,-6.5511,0,0,FALSE,TRUE
"sGARCH","norm",15577.08,-6.5293,-6.5184,0,0,FALSE,TRUE
