"Model","Distribution","logLik","AIC","BIC","GoF_p_min","GoF_p_mean","GoF_pass","Converged"
"apARCH","jsu",-7469.05,3.1374,3.1536,0.0949,0.2591,TRUE,TRUE
"apARCH","nig",-7470.1,3.1378,3.1541,0.1147,0.2052,TRUE,TRUE
"apARCH","sstd",-7480.92,3.1423,3.1586,0.0204,0.049,FALSE,TRUE
"apARCH","sged",-7507.88,3.1536,3.1699,0,0,FALSE,TRUE
"eGARCH","jsu",-7537.76,3.1658,3.1807,0.0077,0.0408,FALSE,TRUE
"eGARCH","nig",-7540.05,3.1667,3.1816,0.031,0.068,FALSE,TRUE
"eGARCH","sstd",-7549.38,3.1706,3.1856,1e-04,0.0036,FALSE,TRUE
"eGARCH","sged",-7583.26,3.1848,3.1998,0,0,FALSE,TRUE
"gjrGARCH","jsu",-7588.35,3.187,3.2019,0.4952,0.6444,TRUE,TRUE
"gjrGARCH","nig",-7591.69,3.1884,3.2033,0.5005,0.6342,TRUE,TRUE
"gjrGARCH","sstd",-7598.19,3.1911,3.206,0.0311,0.194,FALSE,TRUE
"gjrGARCH","sged",-7636.62,3.2072,3.2221,0,1e-04,FALSE,TRUE
"sGARCH","jsu",-7640.31,3.2083,3.2219,0.116,0.2832,TRUE,TRUE
"sGARCH","nig",-7644.73,3.2102,3.2238,0.1962,0.4402,TRUE,TRUE
"sGARCH","sstd",-7650.59,3.2127,3.2262,1e-04,0.0037,FALSE,TRUE
"sGARCH","sged",-7690.27,3.2293,3.2429,0,0,FALSE,TRUE
"apARCH","std",-7705.54,3.2361,3.251,0,0,FALSE,TRUE
"eGARCH","std",-7747.83,3.2534,3.267,0,0,FALSE,TRUE
"gjrGARCH","std",-7774.85,3.2648,3.2783,0,0,FALSE,TRUE
"apARCH","ged",-7782.33,3.2683,3.2833,0,0,FALSE,TRUE
"sGARCH","std",-7819.59,3.2831,3.2953,0,0,FALSE,TRUE
"eGARCH","ged",-7819.61,3.2835,3.2971,0,0,FALSE,TRUE
"gjrGARCH","ged",-7843.43,3.2935,3.3071,0,0,FALSE,TRUE
"sGARCH","ged",-7888.35,3.312,3.3242,0,0,FALSE,TRUE
"apARCH","norm",-8184.29,3.4365,3.45,0,0,FALSE,TRUE
"eGARCH","norm",-8265.11,3.47,3.4822,0,0,FALSE,TRUE
"gjrGARCH","norm",-8332.88,3.4984,3.5106,0,0,FALSE,TRUE
"sGARCH","norm",-8459.11,3.5509,3.5617,0,0,FALSE,TRUE
