pair,empirical,model,diff
EURUSD / GLD,-0.05465862687128194,-0.05465862687128194,0.0
EURUSD / IEF,0.0640506452878644,0.0640506452878644,0.0
EURUSD / SPY,0.014634704532444278,0.014634704532444278,0.0
EURUSD / VIX_ret,0.009761547712337289,0.009761547712337289,0.0
EURUSD / DGS10_chg,-0.058027649064570905,-0.058027649064570905,0.0
GLD / IEF,0.4262640159493022,0.4262640159493022,0.0
GLD / SPY,0.18155426381265255,0.18155426381265255,0.0
GLD / VIX_ret,-0.11353775966115694,-0.11353775966115694,0.0
GLD / DGS10_chg,-0.4087642544296621,-0.4087642544296621,0.0
IEF / SPY,0.1338776505411118,0.1338776505411118,0.0
IEF / VIX_ret,-0.09289992790696218,-0.09289992790696218,0.0
IEF / DGS10_chg,-0.9628065965807349,-0.9628065965807349,0.0
SPY / VIX_ret,-0.7539800700890903,-0.7539800700890903,0.0
SPY / DGS10_chg,-0.13651505921260076,-0.13651505921260076,0.0
VIX_ret / DGS10_chg,0.10039847662984047,0.10039847662984047,0.0
