,factor_i,factor_j,emp,model,diff
0,EURUSD,EURUSD,0.04933333333333333,0.05168,-0.0023466666666666636
1,EURUSD,GLD,0.0026666666666666666,0.00324,-0.0005733333333333332
2,EURUSD,IEF,0.008,0.0046,0.0034000000000000002
3,EURUSD,SPY,0.005333333333333333,0.00362,0.0017133333333333332
4,EURUSD,VIX_ret,0.004,0.00416,-0.00015999999999999955
5,EURUSD,DGS10_chg,0.0,0.00328,-0.00328
6,GLD,EURUSD,0.0026666666666666666,0.00324,-0.0005733333333333332
7,GLD,GLD,0.04933333333333333,0.0501,-0.0007666666666666655
8,GLD,IEF,0.009333333333333334,0.01198,-0.0026466666666666652
9,GLD,SPY,0.008,0.00658,0.0014200000000000003
10,GLD,VIX_ret,0.005333333333333333,0.00264,0.002693333333333333
11,GLD,DGS10_chg,0.0013333333333333333,0.00068,0.0006533333333333332
12,IEF,EURUSD,0.008,0.0046,0.0034000000000000002
13,IEF,GLD,0.009333333333333334,0.01198,-0.0026466666666666652
14,IEF,IEF,0.04933333333333333,0.05126,-0.0019266666666666668
15,IEF,SPY,0.008,0.00636,0.00164
16,IEF,VIX_ret,0.0026666666666666666,0.00328,-0.0006133333333333334
17,IEF,DGS10_chg,0.0,0.0,0.0
18,SPY,EURUSD,0.005333333333333333,0.00362,0.0017133333333333332
19,SPY,GLD,0.008,0.00658,0.0014200000000000003
20,SPY,IEF,0.008,0.00636,0.00164
21,SPY,SPY,0.04933333333333333,0.0497,-0.0003666666666666679
22,SPY,VIX_ret,0.0,0.0,0.0
23,SPY,DGS10_chg,0.0026666666666666666,0.00222,0.0004466666666666664
24,VIX_ret,EURUSD,0.004,0.00416,-0.00015999999999999955
25,VIX_ret,GLD,0.005333333333333333,0.00264,0.002693333333333333
26,VIX_ret,IEF,0.0026666666666666666,0.00328,-0.0006133333333333334
27,VIX_ret,SPY,0.0,0.0,0.0
28,VIX_ret,VIX_ret,0.04933333333333333,0.05052,-0.0011866666666666692
29,VIX_ret,DGS10_chg,0.004,0.00496,-0.0009599999999999999
30,DGS10_chg,EURUSD,0.0,0.00328,-0.00328
31,DGS10_chg,GLD,0.0013333333333333333,0.00068,0.0006533333333333332
32,DGS10_chg,IEF,0.0,0.0,0.0
33,DGS10_chg,SPY,0.0026666666666666666,0.00222,0.0004466666666666664
34,DGS10_chg,VIX_ret,0.004,0.00496,-0.0009599999999999999
35,DGS10_chg,DGS10_chg,0.04933333333333333,0.04898,0.0003533333333333305
