factor,source,mean,std,skewness,excess_kurt,q0.5%,q1%,q5%,q95%,q99%,ks_stat,ks_pvalue,ks_verdict
DGS10_chg,historical,3.733333333333069e-05,0.0007034720242403719,-0.1547944254652203,0.5941223849556398,-0.0018999999999999256,-0.0016,-0.0010999999999999,0.0012,0.0014999999999999,0.054,0.03294976072969797,FAIL
DGS10_chg,simulated,4.551804098586441e-05,0.0006513801615958561,-0.037855927739680675,0.45206963887685525,-0.0017543890705508584,-0.0015757054249347325,-0.0010234925804217543,0.001087853241727158,0.0016121509975090033,0.054,0.03294976072969797,FAIL
EURUSD,historical,-9.416121678886168e-05,0.004990968320385358,-0.019253724793984236,1.1699156169359393,-0.014889167349274854,-0.013255003792006349,-0.008278346876412605,0.008177301813049726,0.012726065952533791,0.03456666666666667,0.36669169648071703,pass
EURUSD,simulated,-2.8033157554234373e-05,0.004505867539612258,-0.0801269976773576,1.5327496286752043,-0.013951129836885902,-0.011942158816153617,-0.007198647643689771,0.007143294948159058,0.011422837650712106,0.03456666666666667,0.36669169648071703,pass
GLD,historical,0.000466659520302398,0.009172748032298507,-0.08684915333949836,0.9158652816304858,-0.027566560536995043,-0.022819919201673214,-0.015039435221051984,0.015883378754095758,0.022504084192312795,0.0247,0.7786081294826369,pass
GLD,simulated,0.0003775663866581163,0.009402317082348618,-0.027016335888652328,1.014505575887794,-0.02688256126862791,-0.023351101107731576,-0.014831153894077772,0.015593968644304894,0.023453163416406513,0.0247,0.7786081294826369,pass
IEF,historical,-0.00016426791089865943,0.00560093616842445,0.19298906000697633,0.5401980478413808,-0.014714959136076228,-0.013101824230361183,-0.009039491310416585,0.008655668086364194,0.013678495880215587,0.08443333333333333,8.943036562383288e-05,FAIL
IEF,simulated,-9.609594433278197e-05,0.004170504800443051,0.020281423496042044,0.3323272234579444,-0.011421050178320926,-0.009980453605655137,-0.006804993614084515,0.006783098749664864,0.009870699741033759,0.08443333333333333,8.943036562383288e-05,FAIL
SPY,historical,0.0003364736432684812,0.011043340918637365,-0.22523231541329927,1.781892695861746,-0.03656363705301977,-0.03142169325527347,-0.017746618230328363,0.0180589221273045,0.02605399492608822,0.0379,0.26222134071852743,pass
SPY,simulated,0.0009299370862183089,0.009586963755218435,-0.03394561502680899,0.9035263477243118,-0.026376197972757268,-0.02285789503859488,-0.014840724585291282,0.016390840426872635,0.025053602749619163,0.0379,0.26222134071852743,pass
VIX_ret,historical,3.8086707213311975e-05,0.07007153727726789,1.395234789137911,9.654232101501313,-0.15870508585762533,-0.14033215799301285,-0.09660588825238617,0.11688835573641758,0.2035518803499041,0.17676666666666666,1.5697579387219664e-19,FAIL
VIX_ret,simulated,-0.004433549742938032,0.12993187568122697,0.19185473645864612,5.170119246022793,-0.4153906432660538,-0.3463981515737656,-0.20716112072556475,0.2003940839082947,0.3275393958289346,0.17676666666666666,1.5697579387219664e-19,FAIL
