,rank,date,pnl_total,pnl_linear,pnl_irs,pnl_straddle,breach_mc_var
0,1,2022-09-13,-69011.9454480886,-87873.74855641832,3637.129912448887,15224.673195880825,True
1,2,2022-06-13,-66402.4608521332,-103155.82285577303,20135.471699131696,16617.89030450814,True
2,3,2022-05-09,-60255.745379091044,-66143.4528752208,-5122.700182616405,11010.407678746162,True
3,4,2022-08-26,-56744.01753422266,-70179.18553376991,728.884391288404,12706.283608258844,True
4,5,2022-10-07,-55509.58097091707,-63349.13261779005,4362.37236012143,3477.17928675155,True
5,6,2022-12-15,-55501.773129799505,-57048.545630092965,-3655.400943923887,5202.173444217351,True
6,7,2022-05-18,-51364.205239330266,-60644.66272950063,-6592.945800971618,15873.403291141984,True
7,8,2022-04-29,-50765.28658528064,-64663.78292504956,2911.1607064071286,10987.335633361796,True
8,9,2022-10-14,-50322.92768514622,-53285.974302969444,2184.4639278158866,778.5826900073403,True
9,10,2022-11-02,-46772.61297986,-50319.24765038784,2184.4639278158866,1362.1707427119532,True
