refit_id,ci_lo,ci_hi
2007-12-31,13785.146542922575,14626.650132754097
2009-01-12,24685.249206368193,26537.276687765545
2010-01-08,28651.581230196272,31070.124229032568
2011-01-05,19475.381702776678,20753.12251306043
2012-01-03,18104.06636515692,19133.270088062818
2013-01-02,17886.075448867057,18983.215882481127
2013-12-30,13365.637867256619,14217.818190367401
2014-12-26,11974.217390335552,12647.920847279269
2015-12-23,12110.942244630227,12819.479044119933
2016-12-20,13064.726545297237,13734.656068743627
2017-12-18,10809.787745441774,11345.800838997846
2018-12-17,10677.720952064874,11186.456928781827
2019-12-13,12796.102825750555,13754.787532582108
2020-12-10,27167.28792237967,30042.181246160468
2021-12-08,28616.228223487495,31490.4527726719
2022-12-06,22900.882742701102,24173.443327140638
2023-12-05,25187.999353319763,27404.257707832356
2024-12-03,21673.985198770937,24020.695546537932
